,ID,description,university,relationships,break ups,divorce,weddings,death,family,friendship
0,"39,822","From the Wall Street Journal and #1 Amazon bestselling author comes a new installment to the Blue Moon small town romance series.  A womanizing bad boy with a motorcycle and sexy-as-sin smile is not part of Emma’s life plan.  She moved cross-country to be close to family and finally settle down in hippie, trippy, nosey Blue Moon Bend. But when famed fashion photographer Niko shows up with his leather jacket, underwear-melting voice, and a problem, she sees nothing but trouble.  He’s all wrong for Emma, but that doesn’t stop the attraction from boiling over.  Niko doesn’t let being friend zoned get in his way. Once he gets his hands—and his mouth—on her, will their friendship survive? Or will he lose everything he’s worked for back in New York to the redhead who dominates his every thought? ",False,True,False,False,False,False,False,False
1,"34,235","Helping set the stage for BioWare's hotly anticipated ""Dragon Age: Inquisition,"" this deluxe oversized hardcover collects every Dark Horse Dragon Age comic to date--""The Silent Grove, Those Who Speak,"" and ""Until We Sleep""-- an epic trilogy complete in one volume, written by ""Dragon Age ""lead writer David Gaider! This edition also features extensive annotations from the creators of the comics as well as a section of never-before-seen related material.",False,False,False,False,False,False,False,False
2,"27,904","Sebastian Locke, the fifty-six-year-old patriarch of a powerful American family, is handsome, charismatic, and a man of immense charm and intelligence. He is the chairman of the philanthropic Locke Foundation, funded by the vast family fortune built by his forefathers. Committed to relieving the suffering of those in genuine need, Locke travels the globe giving away millions a year to the poor, the sick, and the innocent victims of natural disasters and wars. He is seen as a beacon of light in today's darkly violent world.That is why the police are profoundly baffled when Sebastian Locke is found dead at his country estate under mysterious circumstances. Has he been murdered? And if so, who would have wanted to kill the world's greatest philanthropist? Could such an upstanding man have had enemies?Vivienne Trent, an American journalist, had been fascinated by Locke as a child, married him when she was a young woman, then later divorced him, but had always stayed close to him. Aware that there had been another side to this enigmatic man, she sets out to find the truth about his death and about Locke himself, much to the annoyance of his two grown children, who find her obsession irritating.As she prepares to write a profile of Locke for the London Sunday Times, Vivienne uncovers startling revelations, revelations that turn her life around.",False,True,False,True,False,True,True,False
3,"10,515","""Take me back to Oxmoon, the lost paradise of our childhood. Take me back to Oxmoon and make it live again!""Oxmoon, the rambling old mansion on a sprawling estate in Wales, has been for generations, the dream, the downfall, and the destiny of the wealthy Godwin family. They are entranced by tales of glittering parties where young lovers waltzed beneath the chandeliers as the orchestra played ""The Blue Danube Waltz"". They are ensnared by the family legacy of madness, murder, and doomed romance --- the disastrous consequences of 19th-century Gwyneth Godwin's scandalous affair with sheep farmer Owen Bryn-Davies.",False,True,False,False,False,False,True,False
4,935,"When the Mayflower set sail in 1620, it carried on board the men and women who would shape America: Miles Standish; John Alden; Constance Hopkins. But some among the Pilgrims were not pure of heart; they were not escaping religious persecution. Indeed, they were not even human. They were vampires.The vampires assimilated quickly into the New World. Rising to levels of enormous power, wealth, and influence, they were the celebrated blue bloods of American society. The Blue Bloods vowed that their immortal status would remain a closely guarded secret. And they kept that secret for centuries. But now, in New York City, the secret is seeping out. Schuyler Van Alen is a sophomore at a prestigious private school. She prefers baggy, vintage clothes instead of the Prada and pearls worn by her classmates, and she lives with her reclusive grandmother in a dilapated mansion. Schuyler is a loner...and happy that way. Suddenly, when she turns fifteen, there is a visible mosaic of blue veins on her arm. She starts to crave raw food and she is having flashbacks to ancient times. Then a popular girl from her school is found dead... drained of all her blood. Schuyler doesn't know what to think, but she wants to find out the secrets the Blue Bloods are keeping. But is she herself in danger?",False,False,False,False,False,False,False,False
5,"39,518","A collection of stories about time, space, and the evolution of the universe in which the author blends mathematics with poetic imagination. “Calvino does what very few other writers can do: he describes imaginary worlds with the most extraordinary precision and beauty” (Gore Vidal, New York Review of Books). Translated by William Weaver. A Helen and Kurt Wolff Book
",False,False,False,False,False,False,False,False
6,"37,610","Montmorency, the man leading a double life, torn between his two identities, returns in this gripping sequel.Five years after giving up his life of crime in the sewers, Montmorency is back in London. But his evil alter ego, Scarper has returned too, pulling him back into a dark world of crime.Montmorency's old friend and fellow government agent, Lord George Fox-Selwyn, fights to rescue him from disaster and risks calling in Montmorency's prison doctor, Robert Farcett, to help.However, when Montmorency turns up on a Scottish Island, he finds himself caught in another web of mystery.",False,False,False,False,False,False,False,True
7,"41,968","Long ago the Tripods, gigantic three-legged machines, descended upon Earth and took control. They used ""Caps,"" administered ceremoniously near each child's 14th birthday, to control humans' brains and keep them docile. Now there is pleasant life in villages, little technology, and no war--but there is no freedom either. In this powerful and suspenseful series, 13-year-old Will Parker and his friends deal with hunger, humanity, envy, and pride as they struggle to find out all they can about the Tripods and overthrow their rule. Written by John Christopher, author of many juvenile science fiction and fantasy books, The Tripods Trilogy is sure to make a science fiction fan out of any reader--young or old. This box set of paperbacks includes The White Mountains, The City of Gold and Lead, and The Pool of Fire, the chilling conclusion to the series that poses the question: Who would rule the world if it were freed from the aliens? (Ages 9 and older) --Bonnie Bouman",False,False,False,False,False,False,False,True
8,"6,242","Take a wonderfully crazed excursion into the demented heart of a tropical paradise—a world of cargo cults, cannibals, mad scientists, ninjas, and talking fruit bats. Our bumbling hero is Tucker Case, a hopeless geek trapped in a cool guy's body, who makes a living as a pilot for the Mary Jean Cosmetics Corporation. But when he demolishes his boss's pink plane during a drunken airborne liaison, Tuck must run for his life from Mary Jean's goons. Now there's only one employment opportunity left for him: piloting shady secret missions for an unscrupulous medical missionary and a sexy blond high priestess on the remotest of Micronesian hells. Here is a brazen, ingenious, irreverent, and wickedly funny novel from a modern master of the outrageous.",False,False,False,False,False,False,False,False
9,"37,402","A witty, sharply observed debut novel about a young woman who finds unexpected salvation while working in a quirky used bookstore in Manhattan.Impressionable and idealistic, Esme Garland is a young British woman who finds herself studying art history in New York. She loves her apartment and is passionate about the city and her boyfriend; her future couldn’t look brighter. Until she finds out that she’s pregnant.Esme’s boyfriend, Mitchell van Leuven, is old-money rich, handsome, successful, and irretrievably damaged. When he dumps Esme—just before she tries to tell him about the baby—she resolves to manage alone. She will keep the child and her scholarship, while finding a part-time job to make ends meet. But that is easier said than done, especially on a student visa.The Owl is a shabby, second-hand bookstore on the Upper West Side, an all-day, all-night haven for a colorful crew of characters: handsome and taciturn guitar player Luke; Chester, who hyperventilates at the mention of Lolita; George, the owner, who lives on protein shakes and idealism; and a motley company of the timeless, the tactless, and the homeless. The Owl becomes a nexus of good in a difficult world for Esme—but will it be enough to sustain her? Even when Mitchell, repentant and charming, comes back on the scene?A rousing celebration of books, of the shops where they are sold, and of the people who work, read, and live in them, The Bookstore is also a story about emotional discovery, the complex choices we all face, and the accidental inspirations that make a life worth the reading.",True,True,True,False,False,False,False,True
10,65,This is the way the world ends: with a nanosecond of computer error in a Defense Department laboratory and a million casual contacts that form the links in a chain letter of death. And here is the bleak new world of the day after: a world stripped of its institutions and emptied of 99 percent of its people. A world in which a handful of panicky survivors choose sides -- or are chosen.,False,False,False,False,False,False,False,False
11,"26,166","London is picking up the pieces after a near-Apocalypse—a comet has just missed the Earth, leaving the city in chaos.The streets have taken on a frenzied air, and swindlers and circus performers have come to town to take advantage of the confusion. In this time of uncertainty, only the blind boy oracle,Tersias, can see what the future holds. But awareness of his power is growing, and he is captured by Solomon, a false prophet whose purple-robed minions swarm London, looking for disciples. Tersias is just what Solomon needs, and with Tersias under his control, Solomon believes he’s finally in a position to complete his master plan. Tersias is not without friends—an unlikely alliance of teenage highwaymen and a charlatan magician swear to break down Solomon’s Citadel and rescue Tersias from his clutches. They wonder if Tersias’s power can save them all—but they haven’t realized the source of his second sight, and they aren’t aware of a much darker force that torments his soul . . .",False,False,False,False,False,False,False,True
12,"13,270","Natalie Cleary must risk her future and leap blindly into a vast unknown for the chance to build a new world with the boy she loves.  Natalie’s last summer in her small Kentucky hometown is off to a magical start... until she starts seeing the “wrong things.” They’re just momentary glimpses at first—her front door is red instead of its usual green, there’s a pre-school where the garden store should be. But then her whole town disappears for hours, fading away into rolling hills and grazing buffalo, and Nat knows something isn’t right. That’s when she gets a visit from the kind but mysterious apparition she calls “Grandmother,” who tells her: “You have three months to save him.” The next night, under the stadium lights of the high school football field, she meets a beautiful boy named Beau, and it’s as if time just stops and nothing exists. Nothing, except Natalie and Beau. Emily Henry’s stunning debut novel is Friday Night Lights meets The Time Traveler’s Wife, and perfectly captures those bittersweet months after high school, when we dream not only of the future, but of all the roads and paths we’ve left untaken.",False,True,False,False,False,False,False,False
13,"8,810","It all began when the half-able wizard Questor Thews announced that finally he could restore the Court Scribe Abernathy to human form. All went well until the wizard breahed the magic dust of his spell and suddenly sneezed. Then, where Abernathy had stood, there was only a bottle containing a particularly evil imp, who soon escapes.",False,False,False,False,False,False,False,False
14,"33,837","From Mexico’s preeminent man of letters, “a Balzacian novel in nine masterly stories” (Vanity Fair) that explores the “uneven and painful meshing of two North american cultures” (Washington Post Book World). A New York Times Notable Book of the Year. A Los Angeles Times Best Book of the Year. Translated by Alfred Mac Adam.
",False,False,False,False,False,False,False,False
15,"27,544","When the narrator of White's poised yet scalding autobiographical novel first embarks on his sexual odyssey, it is the 1950s, and America is ""a big gray country of families on drowsy holiday."" That country has no room for a scholarly teenager with guilty but insatiable stirrings toward other men. Moving from a Midwestern college to the Stonewall Tavern on the night of the first gay uprising--and populated by eloquent queens, butch poseurs, and a fearfully incompetent shrink--The Beautiful Room is Empty conflates the acts of coming out and coming of age.",True,True,False,False,False,False,False,True
16,"10,828"," The biggest mystery of all...and Reed is dying to learn the truth.    Two months after Cheyenne Martin was found dead in her Billings House dorm room, exclusive Easton Academy is rocked by another stunning revelation: Cheyenne was murdered. No one knows who the killer is, but everyone agrees that Reed Brennan, who took over Cheyenne's role as Billings's president, gained the most from her death. Once the most powerful girl on campus, Reed is now powerless to stop her classmates' accusing whispers. Rumors begin to swirl that she killed Cheyenne.   And just like that, Reed is kicked out of Billings.   She's lost everything -- her friends, her home, her boyfriend -- and Reed knows the only way to get it all back is to figure out who really murdered Cheyenne. And she has to do it fast because the killer is still out there. The more Reed investigates, the more she uncovers. And as any Billings Girl knows...secrets can be deadly.",False,False,False,False,False,False,False,False
17,"13,840","When Vic Wilcox, MD of Pringle's engineering works, meets English lecturer Dr Robyn Penrose, sparks fly as their lifestyles and ideologies collide head on. But, in time, both parties make some surprising discoveries about each other's worlds - and about themselves.",False,True,False,False,False,False,False,False
18,"18,210","Fifteen-year-old Landon Wicker is psychokinetic, but the tragic unleashing of his abilities forces him to run from everything he knows. Alone, terrified and unable to remember the events that compelled him to flee, Landon fights to survive and understand what's happening to him. He finds solace, however, in the company of hundreds of psychokinetics like him when he's brought to the Gymnasium.Forced into a life where people don't just see - but control - the world around them and teenagers lift city buses with a thought, Landon struggles to accept his new reality and the guilt over his painful secret. But everything changes when a chance encounter with a mysterious girl propels him on a hunt for answers. Uncovering dark truths the Gymnasium would do anything to keep hidden, Landon must choose where his loyalties lie.Will Landon accept his past - and his future? Will he discover the truth? What's hidden in the Restricted Tower, and who is Artemis?",False,False,False,False,False,False,False,False
19,"31,392","Wilhelmina has a hundred enemies. HER FRIENDS HAVE TURNED. After her identity is revealed during the Inundation, Princess Wilhelmina is kept prisoner by the Indigo Kingdom, with the Ospreys lost somewhere in the devastated city. When the Ospreys’ leader emerges at the worst possible moment, leaving Wil’s biggest ally on his deathbed, she must become Black Knife to set things right.  HER MAGIC IS UNCONTROLLABLE. Wil’s power is to animate, not to give true life, but in the wraithland she commanded a cloud of wraith mist to save herself, and later ordered it solid. Now there is a living boy made of wraith—destructive and deadly, and willing to do anything for her. HER HEART IS TORN. Though she’s ready for her crown, declaring herself queen means war. Caught between what she wants and what is right, Wilhelmina realizes the throne might not even matter. Everyone thought the wraith was years off, but already it’s destroying Indigo Kingdom villages. If she can’t protect both kingdoms, soon there won’t be a land to rule. In this stunning conclusion to THE ORPHAN QUEEN, Jodi Meadows follows Wilhelmina’s breathtaking and brave journey from orphaned criminal on the streets to magic-wielding queen.",False,False,False,False,False,False,False,False
20,"23,255","When Grace’s beloved sister Glory dies in a car crash, her life spirals out of control. She discovers Glory was indebted to a local crime lord and laundering money through her café. What’s worse, Grace is now forced to take over.Defying her anxiety, Grace will stop at nothing to save herself and those Glory left behind from the clutches of Glasgow’s underworld. But her plans unravel when more family secrets emerge and Grace is driven to question everything she believed about her sister – even her death.Could Glory’s accident have been murder?",False,False,False,False,False,True,True,False
21,"47,060","With this new thriller, The New York Times bestselling author Tami Hoag delivers her own message to suspense fans everywhere: Don't turn off the lights, and keep reading if you dare. From the gritty streets of Los Angeles to its most protected enclaves of prestige and power to the ruthless glamour of Hollywood, a killer stalks his prey. A killer so merciless no one in his way is safe—not even the innocent.At the end of a long day battling street traffic, bike messenger Jace Damon has one last drop to make. But en route to delivering a package for one of L.A.'s sleaziest defense attorneys, he's nearly run down by a car, chased through back alleys, and shot at. Only the instincts acquired while growing up on the streets of L.A. allow him to escape with his life—and with the package someone wants badly enough to kill for. Jace returns to Lenny Lowell's office only to find the cops there, the lawyer dead, and Jace himself considered the prime suspect in the savage murder. Suddenly he's on the run from both the cops and a killer, and the key to saving himself and his ten-year-old brother is the envelope he still has—which holds a message no one wants delivered: the truth.In a city fueled by money, celebrity, and sensationalism, the murder of a bottom-feeding mouthpiece like Lenny Lowell won't make the headlines. So when detectives from the LAPD's elite robbery/homicide division show up, homicide detective Kev Parker wants to know why. Parker is on the downhill slide of a once-promising career, and he doesn't want to be reminded that he used to be one of the hotshots, working cases that made instant celebrities of everyone involved. Like the case of fading retty-boy actor Rob Cole, accused of the brutal murder of his wife, Tricia Crowne-Cole, daughter of one of the most powerful men in the city, L.A.'s latest ""crime of the century.""Robbery/Homicide has no reason to be looking at a dead small-time scumbag lawyer or chasing a bike messenger...unless there's something in it for them. Maybe Lenny Lowell had a connection to something big enough to be killed for. Parker begins a search for answers that will lead him to a killer—or the end of his career. Because if there's one lesson he's learned over the years, it's that in a town built on fantasy and fame, delivering the truth can be deadly.",False,False,False,False,False,False,False,False
22,"17,255","Eden’s life has taken a turn she would never have imagined. She’s gone from soul eater to warrior, left behind a family she was ashamed of and moved in with one she admires. She has a purpose, a future, and… she has Noah.Life should be good.But… the most fervent and powerful soul eaters are determined to take down the Ankh and Eden is the key to the destruction of the warrior race. Moreover, a shadowed enemy is still after Eden, and the mortal Warriors of Neith have chosen the worst time imaginable to start an uprising.With an enemy in every corner, the problems before her are overwhelming. Then again, Eden hasn’t come this far to let anyone snatch her new life from her… However, just when Eden thought she’d battled the monster within and won, the warrior who took something precious from her comes back into her life, tempting Eden to take a course of revenge there is no turning back from.A YA Paranormal Romance recommended for ages 16 and up.",False,True,False,False,False,False,False,False
23,"46,288","When a mysterious man orchestrates an attack on archaeologist Annja Creed and then offers her an assignment, Annja is baffl ed. But the mission is too intriguing for her to refuse. She must fi nd an object that possesses a sacred and powerful secret offering atonement to anyone who uncovers it—or wreaking havoc on the world.Stolen from an ancient order of knights, the relic is now in the clutches of a band of pirates sailing the South China Sea. When a government leader threatens to destroy the pirate ship—along with the artifact—rather than let it get into the wrong hands, Annja must decide at what cost the sacred prize should be protected. Destroying it would defi le history. But saving it could bring about apocalypse.",False,False,False,False,False,False,False,False
24,"23,401","Spice and Wolf is ten years old! To commemorate this anniversary, Yen Press is producing a lavish tome collecting all seventeen original volumes of Spice and Wolf. Beautifully bound and impressively designed to give the impression of a medieval manuscript, the book will also include all of illustrator Jyuu Ayakura's original illustrations. This book will be the crown jewel in any collector's library!",False,False,False,False,False,False,False,False
25,"27,880","The Rest of the Robots is the third timeless, amazing and amusing volume of Isaac Asimov's robot stories, offering golden insights into robot thought processes. Asimov's Three Laws of Robotics have since been programmed into real computers the Massachusetts Institute of Technology and used as the outline for a legal robotic charter in Korea. ROBOT TONY is the first robot designed to perform domestic duties by the US Robots and Mechanical Men Corporation. Is it Tony's fault that the lady of the house where he's field tested falls in love with him?ROBOT AL was intended for shipment to a mining outfit on the moon. Instead, he's loose in the mountains of Virginia...building from scraps of junk his very own, very dangerous disintegrator.ROBOT LENNY answers workaday questions in babytalk. So why is Dr Susan Calvin, the world's top robopsychologist, fascinated by this messed up specimen of an industrial robot?",False,False,False,False,False,False,False,False
26,"42,223","With the female master of the London Underground in her hands, stuntwoman-turned­vampire hunter Dawn Madison must fight off her followers, a vicious pack of undead teenage girls who put the vamps Dawn had to deal with in Los Angeles to shame...",False,False,False,False,False,False,False,False
27,698,"When an unidentified “monster” threatens international shipping, French oceanographer Pierre Aronnax and his unflappable assistant Conseil join an expedition organized by the US Navy to hunt down and destroy the menace. After months of fruitless searching, they finally grapple with their quarry, but Aronnax, Conseil, and the brash Canadian harpooner Ned Land are thrown overboard in the attack, only to find that the “monster” is actually a futuristic submarine, the Nautilus, commanded by a shadowy, mystical, preternaturally imposing man who calls himself Captain Nemo. Thus begins a journey of 20,000 leagues—nearly 50,000 miles—that will take Captain Nemo, his crew, and these three adventurers on a journey of discovery through undersea forests, coral graveyards, miles-deep trenches, and even the sunken ruins of Atlantis. Jules Verne’s novel of undersea exploration has been captivating readers ever since its first publication in 1870, and Frederick Paul Walter’s reader-friendly, scientifically meticulous translation of this visionary science fiction classic is complete and unabridged down to the smallest substantive detail.",False,False,False,False,False,False,False,False
28,"27,918","""Watch out for the mosquitoes,"" they called to one another, lyrically because warning wasn't any use anyway, as they walked out of their kimonos and dropped them like the petals of one big scattered flower on the bank behind them, and exposing themselves felt in a hundred places at once the little pangs.'Moon Lake is the story of a summer camp in Mississippi, a surly lifeguard, a rebellious orphan girl, and the fateful day when they learn the secrets of life and death. Pulitzer Prize-winner Eudora Welty's extraordinary short story is a lushly atmospheric and acutely observed portrayal of the strange, surreal time between childhood and adulthood.",False,False,False,False,False,True,False,True
29,"42,320","Ben cannot keep his mind off of the handsome young man sitting at the back of his world literature class. He fantasizes and fantasizes, and then he acts. An amorous, hysterical, and unusual tale by the author of Nathan's Story and Atom Heart John Beloved.",False,True,False,False,False,False,False,False
30,"5,241","Librarian's note: This edition's ASIN is in conflict with The Starbirth Assignment: Shifter.This book is out of print. For the full edition, including both part 1 and 2 of The Starbirth Assignment, see The Starbirth Assignment: Shifter.Lock Harford is exposed to an unknown drug as a teenager in South America. Its unique effects draw the attention of British intelligence, who undertake Lock’s development. He has the ability to move his body through a different dimension using the power of thought. His enhanced senses detect living beings as energy pulses, making him invaluable to military and intelligence organisations. They employ him to work alongside elite taskforces, taking passengers using teleportation, ‘Shifting’ in and lifting operatives out of hostile situations. Lock’s handlers are put on red alert when a similar drug, Starbirth, appears in the United States and Britain sold as an illegal 'high'. Distribution spreads across the world and the results of a Starbirth pandemic are feared as criminal and insane teleporters (Shifters) wreak havoc. Lock and a small unit of covert operatives are given the task of finding the source of Starbirth and shutting it down, but their efforts are hindered by corrupt, ruthless people with their own agendas. Lock is joined in his quest by the powerful, infuriating and immensely likeable Jimmy Mackenzie, a Special Air Service trooper whose life is changed forever by events out of their control.In this first book in the Starbirth series, Jackie Johnson develops a brutal mix of suspense, humanity, command and action with a subtle vein of humour that keeps the reader rooting for Harford’s team. These books are crafted to stay with the reader long after the story is finished, a rare ability in these days of bubble gum fiction, and Starbirth sits confidently alongside the best Sci-fi thrillers. Her ability to merge Sci-fi and Special Forces intrigue are second to none. In true Lock Harford style, she infiltrates this Man’s World with impressive success.The series continues in the third book, The Shifter Dimension.",False,False,False,False,False,False,False,True
31,"36,868","An elusive Seer. A rogue wolf-shifter. If they can’t unite a divided kingdom, their world will be lost forever.After her father’s tragic demise, Maelona keeps her powers close and pushes everyone else away. So when visions of a dark sorcerer plague her remote Seer community, she’s horrified to learn the realm’s defenses are in danger. Tasked with an impossible mission to unite all paranormal beings in the fight against evil, she fears long-held divisions could spell their demise.  As she ventures through a sacred forest, Maelona fights her reclusive instincts to recruit a sensitive wolf-shifter with ties to her own dark past. But after encountering the bloody aftermath of demonic raids, she feels the dreaded prophecy at hand. And the time to forge alliances may have already slipped through her fingers… Will Maelona bring the realm together before a sinister foe divides and conquers? The Guardians of Eastgate is the first book in the action-packed Seers epic fantasy series. If you like mythical shifters, courageous heroes, and dark prophecies, then you’ll love Sherry Leclerc’s spellbinding adventure. Buy The Guardians of Eastgate to join the magical alliance today!",False,False,False,False,False,True,False,False
