,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,bookId,title,series,author,description,isbn,genres,pages,publishDate,Fiction,Young Adult,Childrens,New Adult,Fantasy,History,Dystopia,Manga,Thriller,Graphic Novels,Romance,tokens,university,relationships,break ups,divorce,wedding,death,family,friendship,Life Event Categories,University_T,Relationships_T,Break_ups_T,Divorce_T,Wedding_T,Moving_T,Coming_of_age_T,Death_T,Family_T,Friendship_T
0,0,424,496,6644117-the-iron-king,The Iron King,The Iron Fey #1,Julie Kagawa (Goodreads Author),"Meghan Chase has a secret destiny; one she could never have imagined.Something has always felt slightly off in Meghan's life, ever since her father disappeared before her eyes when she was six. She has never quite fit in at school or at home.When a dark stranger begins watching her from afar, and her prankster best friend becomes strangely protective of her, Meghan senses that everything she's known is about to change.But she could never have guessed the truth - that she is the daughter of a mythical faery king and is a pawn in a deadly war. Now Meghan will learn just how far she'll go to save someone she cares about, to stop a mysterious evil, no faery creature dare face; and to find love with a young prince who might rather see her dead than let her touch his icy heart.",9.78037E+12,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Fae', 'Fairies', 'Magic', 'Urban Fantasy', 'Fiction', 'Young Adult Fantasy']",363.0,1/19/2010,Fiction,Young Adult,,,Fantasy,,,,,,Romance,"['meghan', 'chase', 'secret', 'destiny', 'one', 'could', 'never', 'imaginedsomething', 'always', 'felt', 'slightly', 'meghans', 'life', 'ever', 'since', 'father', 'disappeared', 'eyes', 'six', 'never', 'quite', 'fit', 'school', 'homewhen', 'dark', 'stranger', 'begins', 'watching', 'afar', 'prankster', 'best', 'friend', 'becomes', 'strangely', 'protective', 'meghan', 'senses', 'everything', 'shes', 'known', 'changebut', 'could', 'never', 'guessed', 'truth', 'daughter', 'mythical', 'faery', 'king', 'pawn', 'deadly', 'war', 'meghan', 'learn', 'far', 'shell', 'go', 'save', 'someone', 'cares', 'stop', 'mysterious', 'evil', 'faery', 'creature', 'dare', 'face', 'find', 'love', 'young', 'prince', 'might', 'rather', 'see', 'dead', 'let', 'touch', 'icy', 'heart']",[],[],[],[],[],[],['father'],['friend'],"Family Relationships, Friendship",,,,,,,,,True,True
1,1,676,807,78983.Kane_and_Abel,Kane and Abel,Kane & Abel #1,Jeffrey Archer,"Born on the same day near the turn of the century on opposite sides of the world, both men are brought together by fate and the quest of a dream. These two men -- ambitious, powerful, ruthless -- are locked in a relentless struggle to build an empire, fuelled by their all-consuming hatred. Over 60 years and three generations, through war, marriage, fortune, and disaster, Kane and Abel battle for the success and triumph that only one man can have.",9.78031E+12,"['Fiction', 'Historical Fiction', 'Thriller', 'Drama', 'Classics', 'Novels', 'Historical', 'Mystery', 'Contemporary', 'Mystery Thriller']",592.0,3/13/2004,Fiction,,,,,,,,Thriller,,,"['born', 'day', 'near', 'turn', 'century', 'opposite', 'sides', 'world', 'men', 'brought', 'together', 'fate', 'quest', 'dream', 'two', 'men', 'ambitious', 'powerful', 'ruthless', 'locked', 'relentless', 'struggle', 'build', 'empire', 'fuelled', 'allconsuming', 'hatred', 'years', 'three', 'generations', 'war', 'marriage', 'fortune', 'disaster', 'kane', 'abel', 'battle', 'success', 'triumph', 'one', 'man']",[],[],[],[],[],[],[],[],None,False,False,False,False,False,True,False,False,False,False
2,2,848,1017,14817.A_Scanner_Darkly,A Scanner Darkly,,Philip K. Dick,"Substance D is not known as Death for nothing. It is the most toxic drug ever to find its way on to the streets of LA. It destroys the links between the brain's two hemispheres, causing, first, disorientation and then complete and irreversible brain damage.The undercover narcotics agent who calls himself Bob Arctor is desperate to discover the ultimate source of supply. But to find any kind of lead he has to pose as a user and, inevitably, without realising what is happening, Arctor is soon as addicted as the junkies he works among...",9.78058E+12,"['Science Fiction', 'Fiction', 'Dystopia', 'Science Fiction Fantasy', 'Novels', 'Classics', 'Cyberpunk', 'Thriller', 'Mystery', 'Crime']",219.0,August 17th 2006,Fiction,,,,,,Dystopia,,Thriller,,,"['substance', 'known', 'death', 'nothing', 'toxic', 'drug', 'ever', 'find', 'way', 'streets', 'la', 'destroys', 'links', 'brains', 'two', 'hemispheres', 'causing', 'first', 'disorientation', 'complete', 'irreversible', 'brain', 'damagethe', 'undercover', 'narcotics', 'agent', 'calls', 'bob', 'arctor', 'desperate', 'discover', 'ultimate', 'source', 'supply', 'find', 'kind', 'lead', 'pose', 'user', 'inevitably', 'without', 'realising', 'happening', 'arctor', 'soon', 'addicted', 'junkies', 'works', 'among']",[],[],[],[],[],['death'],[],[],None,False,False,False,False,False,,False,False,False,False
3,3,962,1159,42156.Something_Borrowed,Something Borrowed,Darcy & Rachel #1,Emily Giffin (Goodreads Author),"Something Borrowed tells the story of Rachel, a young attorney living and working in Manhattan. Rachel has always been the consummate good girl—until her thirtieth birthday, when her best friend, Darcy, throws her a party. That night, after too many drinks, Rachel ends up in bed with Darcy's fiancé. Although she wakes up determined to put the one-night fling behind her, Rachel is horrified to discover that she has genuine feelings for the one guy she should run from. As the September wedding date nears, Rachel knows she has to make a choice. In doing so, she discovers that the lines between right and wrong can be blurry, endings aren't always neat, and sometimes you have to risk all to win true happiness. Something Borrowed is a phenomenal debut novel that will have you laughing, crying, and calling your best friend.",9.78031E+12,"['Chick Lit', 'Romance', 'Fiction', 'Contemporary', 'Adult', 'Contemporary Romance', 'Adult Fiction', 'Audiobook', 'Womens Fiction', 'Novels']",322.0,June 1st 2004,Fiction,,,,,,,,,,Romance,"['something', 'borrowed', 'tells', 'story', 'rachel', 'young', 'attorney', 'living', 'working', 'manhattan', 'rachel', 'always', 'consummate', 'good', 'girluntil', 'thirtieth', 'birthday', 'best', 'friend', 'darcy', 'throws', 'party', 'night', 'many', 'drinks', 'rachel', 'ends', 'bed', 'darcys', 'fianc', 'although', 'wakes', 'determined', 'put', 'onenight', 'fling', 'behind', 'rachel', 'horrified', 'discover', 'genuine', 'feelings', 'one', 'guy', 'run', 'september', 'wedding', 'date', 'nears', 'rachel', 'knows', 'make', 'choice', 'discovers', 'lines', 'right', 'wrong', 'blurry', 'endings', 'arent', 'always', 'neat', 'sometimes', 'risk', 'win', 'true', 'happiness', 'something', 'borrowed', 'phenomenal', 'debut', 'novel', 'laughing', 'crying', 'calling', 'best', 'friend']",[],['date'],[],[],['wedding'],[],[],['friend'],"Romantic Relationships, Friendships, Wedding, Break ups",,True,True,False,True,,,,,True
4,4,1228,1510,6587387-silver-borne,Silver Borne,Mercy Thompson #5,Patricia Briggs,"Mercy Thompson, car mechanic and shapeshifter, never knows what the day - or night - may bring in a world where ""witches, vampires, werewolves, and shapeshifters live beside ordinary people"" (Booklist). But she is about to learn that while some secrets are dangerous whose who seek them are just plain deadly...Mercy is smart enough to realize that when it comes to the magical fae, the less you know, the better. But you can't always get what you want. When she attempts to return a powerful fae she previously borrowed in an act of desperation, she finds the bookstore locked up and closed down.It seems the book contains secrets - and the fae will do just about anything to keep it out of the wrong hands. And if that doesn't take enough of Mercy's attention, her friend Samuel is struggling with his wolf side - leaving Mercy to cover for him lest his own father declare Samuel's life forfeit.All in all, Mercy has had better days. And if she isn't careful, she may not have many more...",9.78044E+12,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Romance', 'Werewolves', 'Vampires', 'Paranormal Romance', 'Shapeshifters', 'Fiction', 'Fae']",342.0,March 30th 2010,Fiction,,,,Fantasy,,,,,,Romance,"['mercy', 'thompson', 'car', 'mechanic', 'shapeshifter', 'never', 'knows', 'day', 'night', 'may', 'bring', 'world', 'witches', 'vampires', 'werewolves', 'shapeshifters', 'live', 'beside', 'ordinary', 'people', 'booklist', 'learn', 'secrets', 'dangerous', 'whose', 'seek', 'plain', 'deadlymercy', 'smart', 'enough', 'realize', 'comes', 'magical', 'fae', 'less', 'know', 'better', 'cant', 'always', 'get', 'want', 'attempts', 'return', 'powerful', 'fae', 'previously', 'borrowed', 'act', 'desperation', 'finds', 'bookstore', 'locked', 'closed', 'downit', 'seems', 'book', 'contains', 'secrets', 'fae', 'anything', 'keep', 'wrong', 'hands', 'doesnt', 'take', 'enough', 'mercys', 'attention', 'friend', 'samuel', 'struggling', 'wolf', 'side', 'leaving', 'mercy', 'cover', 'lest', 'father', 'declare', 'samuels', 'life', 'forfeitall', 'mercy', 'better', 'days', 'isnt', 'careful', 'may', 'many']",[],[],[],[],[],[],['father'],['friend'],Friendship,,,,,,,,,,True
5,5,1457,1790,97333.At_Swim_Two_Birds,At Swim-Two-Birds,,"Flann O'Brien, William H. Gass (Introduction)","A wildly comic send-up of Irish literature and culture, At Swim-Two-Birds is the story of a young, lazy, and frequently drunk Irish college student who lives with his curmudgeonly uncle in Dublin. When not in bed (where he seems to spend most of his time) or reading he is composing a mischief-filled novel about Dermot Trellis, a second-rate author whose characters ultimately rebel against him and seek vengeance. From drugging him as he sleeps to dropping the ceiling on his head, these figures of Irish myth make Trellis pay dearly for his bad writing.Hilariously funny and inventive, At Swim-Two-Birds has influenced generations of writers, opening up new possibilities for what can be done in fiction. It is a true masterpiece of Irish literature.",1E+13,"['Fiction', 'Classics', 'Irish Literature', 'Ireland', 'Literature', 'Novels', 'Humor', '20th Century', 'Fantasy', 'Literary Fiction']",239.0,August 17th 1998,Fiction,,,,Fantasy,,,,,,,"['wildly', 'comic', 'sendup', 'irish', 'literature', 'culture', 'swimtwobirds', 'story', 'young', 'lazy', 'frequently', 'drunk', 'irish', 'college', 'student', 'lives', 'curmudgeonly', 'uncle', 'dublin', 'bed', 'seems', 'spend', 'time', 'reading', 'composing', 'mischieffilled', 'novel', 'dermot', 'trellis', 'secondrate', 'author', 'whose', 'characters', 'ultimately', 'rebel', 'seek', 'vengeance', 'drugging', 'sleeps', 'dropping', 'ceiling', 'head', 'figures', 'irish', 'myth', 'make', 'trellis', 'pay', 'dearly', 'bad', 'writinghilariously', 'funny', 'inventive', 'swimtwobirds', 'influenced', 'generations', 'writers', 'opening', 'new', 'possibilities', 'done', 'fiction', 'true', 'masterpiece', 'irish', 'literature']",['college'],[],[],[],[],[],[],[],"University, Family Relationships",True,,,,,,,,True,
6,6,1561,1914,29283884-the-gentleman-s-guide-to-vice-and-virtue,The Gentleman's Guide to Vice and Virtue,Montague Siblings #1,Mackenzi Lee (Goodreads Author),"Henry “Monty” Montague was born and bred to be a gentleman, but he was never one to be tamed. The finest boarding schools in England and the constant disapproval of his father haven’t been able to curb any of his roguish passions—not for gambling halls, late nights spent with a bottle of spirits, or waking up in the arms of women or men.But as Monty embarks on his Grand Tour of Europe, his quest for a life filled with pleasure and vice is in danger of coming to an end. Not only does his father expect him to take over the family’s estate upon his return, but Monty is also nursing an impossible crush on his best friend and traveling companion, Percy.Still it isn’t in Monty’s nature to give up. Even with his younger sister, Felicity, in tow, he vows to make this yearlong escapade one last hedonistic hurrah and flirt with Percy from Paris to Rome. But when one of Monty’s reckless decisions turns their trip abroad into a harrowing manhunt that spans across Europe, it calls into question everything he knows, including his relationship with the boy he adores.",9.78006E+12,"['Historical Fiction', 'Young Adult', 'LGBT', 'Romance', 'Historical', 'Fiction', 'Audiobook', 'Queer', 'Fantasy', 'Adventure']",513.0,June 27th 2017,Fiction,Young Adult,,,Fantasy,,,,,,Romance,"['henry', 'monty', 'montague', 'born', 'bred', 'gentleman', 'never', 'one', 'tamed', 'finest', 'boarding', 'schools', 'england', 'constant', 'disapproval', 'father', 'havent', 'able', 'curb', 'roguish', 'passionsnot', 'gambling', 'halls', 'late', 'nights', 'spent', 'bottle', 'spirits', 'waking', 'arms', 'women', 'menbut', 'monty', 'embarks', 'grand', 'tour', 'europe', 'quest', 'life', 'filled', 'pleasure', 'vice', 'danger', 'coming', 'end', 'father', 'expect', 'take', 'familys', 'estate', 'upon', 'return', 'monty', 'also', 'nursing', 'impossible', 'crush', 'best', 'friend', 'traveling', 'companion', 'percystill', 'isnt', 'montys', 'nature', 'give', 'even', 'younger', 'sister', 'felicity', 'tow', 'vows', 'make', 'yearlong', 'escapade', 'one', 'last', 'hedonistic', 'hurrah', 'flirt', 'percy', 'paris', 'rome', 'one', 'montys', 'reckless', 'decisions', 'turns', 'trip', 'abroad', 'harrowing', 'manhunt', 'spans', 'across', 'europe', 'calls', 'question', 'everything', 'knows', 'including', 'relationship', 'boy', 'adores']",[],['relationship'],[],[],[],[],"['father', 'sister']",['friend'],"Family Relationships, Romantic Relationships, Moving, ",,True,,,,True,,,True,
7,7,1902,2333,18136407-crashing-down-to-earth,Crashing Down to Earth,Crashing Down to Earth Series #1,Terry Reid (Goodreads Author),"Hayley Foster is a woman with a secret. Her flatmate is her guardian angel. But with the terrifying events of two years ago firmly put behind them, Hayley finally dares hope for a quieter life for her and Alex to enjoy.But it is not long before the old angel’s past comes back to haunt him in the form of an ex-lover. As Alex tries to protect Hayley though, it quickly becomes apparent that far greater powers are at play, far bigger than either of them could ever have possibly imagined.Join Hayley and Alex in the first part of their epic journey as they try to save Glasgow, as well as each other, from doom.Crashing Down to Earth will be available from Amazon and Smashwords this August.",1E+13,"['Romance', 'Angels']",,Aug-13,,,,,,,,,,,Romance,"['hayley', 'foster', 'woman', 'secret', 'flatmate', 'guardian', 'angel', 'terrifying', 'events', 'two', 'years', 'ago', 'firmly', 'put', 'behind', 'hayley', 'finally', 'dares', 'hope', 'quieter', 'life', 'alex', 'enjoybut', 'long', 'old', 'angels', 'past', 'comes', 'back', 'haunt', 'form', 'exlover', 'alex', 'tries', 'protect', 'hayley', 'though', 'quickly', 'becomes', 'apparent', 'far', 'greater', 'powers', 'play', 'far', 'bigger', 'either', 'could', 'ever', 'possibly', 'imaginedjoin', 'hayley', 'alex', 'first', 'part', 'epic', 'journey', 'try', 'save', 'glasgow', 'well', 'doomcrashing', 'earth', 'available', 'amazon', 'smashwords', 'august']",[],[],[],[],[],[],[],[],"Friendship, Death ",,,,,,,,True,,True
8,8,2032,2486,65113.The_Complete_Wreck,The Complete Wreck,A Series of Unfortunate Events #1-13,"Lemony Snicket (Goodreads Author), Brett Helquist (Illustrations)","NOW A NETFLIX ORIGINAL SERIESSome boxes should never be opened.For the first time, the complete A Series of Unfortunate Events is available in one awful package!We can't keep you from succumbing to this international bestselling phenomenon, but we can hide all thirteen books in a huge, elaborately illustrated, shrink-wrapped box, perfect for filling an empty shelf or deep hole.From The Bad Beginning to The End, this box set, adorned with Brett Helquist art from front to back, is the only choice for people who simply cannot get enough of a bad thing!",9.78006E+12,"['Fiction', 'Young Adult', 'Fantasy', 'Childrens', 'Mystery', 'Middle Grade', 'Adventure', 'Humor', 'Novels', 'Classics']",3417.0,October 13th 2006,Fiction,Young Adult,Childrens,,Fantasy,,,,,,,"['netflix', 'original', 'seriessome', 'boxes', 'never', 'openedfor', 'first', 'time', 'complete', 'series', 'unfortunate', 'events', 'available', 'one', 'awful', 'packagewe', 'cant', 'keep', 'succumbing', 'international', 'bestselling', 'phenomenon', 'hide', 'thirteen', 'books', 'huge', 'elaborately', 'illustrated', 'shrinkwrapped', 'box', 'perfect', 'filling', 'empty', 'shelf', 'deep', 'holefrom', 'bad', 'beginning', 'end', 'box', 'set', 'adorned', 'brett', 'helquist', 'art', 'front', 'back', 'choice', 'people', 'simply', 'get', 'enough', 'bad', 'thing']",[],[],[],[],[],[],[],[],None,False,False,False,False,False,,False,False,False,False
9,9,2056,2521,54552798-the-ancestor,The Ancestor,,Lee Matthew Goldberg (Goodreads Author),"A man wakes up in present-day Alaskan wilderness with no idea who he is, nothing on him save an empty journal with the date 1898 and a mirror. He sees another man hunting nearby, astounded that they look exactly alike. After following this other man home, he witnesses a wife and child that brings forth a rush of memories of his own wife and child, except he's certain they do not exist in modern times-but from his life in the late 1800s. After recalling his name is Wyatt, he worms his way into his doppelganger Travis Barlow's life. Memories become unearthed the more time he spends, making him believe that he'd been frozen after coming to Alaska during the Gold Rush and that Travis is his great-great grandson. Wyatt is certain gold still exists in the area and finding it with Travis will ingratiate himself to the family, especially with Travis's wife Callie, once Wyatt falls in love. This turns into a dangerous obsession affecting the Barlows and everyone in their small town, since Wyatt can't be tamed until he also discovers the meaning of why he was able to be preserved on ice for over a century.A meditation on love lost and unfulfilled dreams, The Ancestor is a thrilling page-turner in present day Alaska and a historical adventure about the perilous Gold Rush expeditions where prospectors left behind their lives for the promise of hope and a better future. The question remains whether it was all worth the sacrifice….",9.78164E+12,"['Contemporary', 'Fiction', 'Epic', 'Science Fiction', 'Historical Fiction', 'Drama']",348.0,August 21st 2020,Fiction,,,,,,,,,,,"['man', 'wakes', 'presentday', 'alaskan', 'wilderness', 'idea', 'nothing', 'save', 'empty', 'journal', 'date', 'mirror', 'sees', 'another', 'man', 'hunting', 'nearby', 'astounded', 'look', 'exactly', 'alike', 'following', 'man', 'home', 'witnesses', 'wife', 'child', 'brings', 'forth', 'rush', 'memories', 'wife', 'child', 'except', 'hes', 'certain', 'exist', 'modern', 'timesbut', 'life', 'late', 'recalling', 'name', 'wyatt', 'worms', 'way', 'doppelganger', 'travis', 'barlows', 'life', 'memories', 'become', 'unearthed', 'time', 'spends', 'making', 'believe', 'hed', 'frozen', 'coming', 'alaska', 'gold', 'rush', 'travis', 'greatgreat', 'grandson', 'wyatt', 'certain', 'gold', 'still', 'exists', 'area', 'finding', 'travis', 'ingratiate', 'family', 'especially', 'traviss', 'wife', 'callie', 'wyatt', 'falls', 'love', 'turns', 'dangerous', 'obsession', 'affecting', 'barlows', 'everyone', 'small', 'town', 'since', 'wyatt', 'cant', 'tamed', 'also', 'discovers', 'meaning', 'able', 'preserved', 'ice', 'centurya', 'meditation', 'love', 'lost', 'unfulfilled', 'dreams', 'ancestor', 'thrilling', 'pageturner', 'present', 'day', 'alaska', 'historical', 'adventure', 'perilous', 'gold', 'rush', 'expeditions', 'prospectors', 'left', 'behind', 'lives', 'promise', 'hope', 'better', 'future', 'question', 'remains', 'whether', 'worth', 'sacrifice']",[],['date'],[],[],[],[],['family'],[],"Family Relationships, Moving, Romantic Relationships, ",,True,,,,True,,,True,
