,sequence,labels,scores
0,"From the Wall Street Journal and #1 Amazon bestselling author comes a new installment to the Blue Moon small town romance series.  A womanizing bad boy with a motorcycle and sexy-as-sin smile is not part of Emma’s life plan.  She moved cross-country to be close to family and finally settle down in hippie, trippy, nosey Blue Moon Bend. But when famed fashion photographer Niko shows up with his leather jacket, underwear-melting voice, and a problem, she sees nothing but trouble.  He’s all wrong for Emma, but that doesn’t stop the attraction from boiling over.  Niko doesn’t let being friend zoned get in his way. Once he gets his hands—and his mouth—on her, will their friendship survive? Or will he lose everything he’s worked for back in New York to the redhead who dominates his every thought? ","['relationships', 'friendship', 'weddings', 'family', 'break ups', 'university', 'death', 'divorce']","[0.810408353805542, 0.7846238017082214, 0.3569788336753845, 0.1960430145263672, 0.08770384639501572, 0.056493017822504044, 0.032916754484176636, 0.03210154175758362]"
1,"Helping set the stage for BioWare's hotly anticipated ""Dragon Age: Inquisition,"" this deluxe oversized hardcover collects every Dark Horse Dragon Age comic to date--""The Silent Grove, Those Who Speak,"" and ""Until We Sleep""-- an epic trilogy complete in one volume, written by ""Dragon Age ""lead writer David Gaider! This edition also features extensive annotations from the creators of the comics as well as a section of never-before-seen related material.","['weddings', 'university', 'relationships', 'family', 'divorce', 'death', 'break ups', 'friendship']","[0.6858078241348267, 0.5801675915718079, 0.5562826991081238, 0.49227893352508545, 0.4220064878463745, 0.06544721871614456, 0.054901883006095886, 0.04921816661953926]"
2,"Sebastian Locke, the fifty-six-year-old patriarch of a powerful American family, is handsome, charismatic, and a man of immense charm and intelligence. He is the chairman of the philanthropic Locke Foundation, funded by the vast family fortune built by his forefathers. Committed to relieving the suffering of those in genuine need, Locke travels the globe giving away millions a year to the poor, the sick, and the innocent victims of natural disasters and wars. He is seen as a beacon of light in today's darkly violent world.That is why the police are profoundly baffled when Sebastian Locke is found dead at his country estate under mysterious circumstances. Has he been murdered? And if so, who would have wanted to kill the world's greatest philanthropist? Could such an upstanding man have had enemies?Vivienne Trent, an American journalist, had been fascinated by Locke as a child, married him when she was a young woman, then later divorced him, but had always stayed close to him. Aware that there had been another side to this enigmatic man, she sets out to find the truth about his death and about Locke himself, much to the annoyance of his two grown children, who find her obsession irritating.As she prepares to write a profile of Locke for the London Sunday Times, Vivienne uncovers startling revelations, revelations that turn her life around.","['weddings', 'relationships', 'family', 'university', 'death', 'break ups', 'divorce', 'friendship']","[0.8171698451042175, 0.7892597317695618, 0.6940680742263794, 0.54987633228302, 0.45788684487342834, 0.4239974915981293, 0.38767898082733154, 0.34014877676963806]"
3,"""Take me back to Oxmoon, the lost paradise of our childhood. Take me back to Oxmoon and make it live again!""Oxmoon, the rambling old mansion on a sprawling estate in Wales, has been for generations, the dream, the downfall, and the destiny of the wealthy Godwin family. They are entranced by tales of glittering parties where young lovers waltzed beneath the chandeliers as the orchestra played ""The Blue Danube Waltz"". They are ensnared by the family legacy of madness, murder, and doomed romance --- the disastrous consequences of 19th-century Gwyneth Godwin's scandalous affair with sheep farmer Owen Bryn-Davies.","['family', 'break ups', 'relationships', 'death', 'weddings', 'divorce', 'university', 'friendship']","[0.8995345830917358, 0.7834796905517578, 0.6666879653930664, 0.5271798372268677, 0.2781524062156677, 0.262688010931015, 0.19301684200763702, 0.0537429042160511]"
4,"When the Mayflower set sail in 1620, it carried on board the men and women who would shape America: Miles Standish; John Alden; Constance Hopkins. But some among the Pilgrims were not pure of heart; they were not escaping religious persecution. Indeed, they were not even human. They were vampires.The vampires assimilated quickly into the New World. Rising to levels of enormous power, wealth, and influence, they were the celebrated blue bloods of American society. The Blue Bloods vowed that their immortal status would remain a closely guarded secret. And they kept that secret for centuries. But now, in New York City, the secret is seeping out. Schuyler Van Alen is a sophomore at a prestigious private school. She prefers baggy, vintage clothes instead of the Prada and pearls worn by her classmates, and she lives with her reclusive grandmother in a dilapated mansion. Schuyler is a loner...and happy that way. Suddenly, when she turns fifteen, there is a visible mosaic of blue veins on her arm. She starts to crave raw food and she is having flashbacks to ancient times. Then a popular girl from her school is found dead... drained of all her blood. Schuyler doesn't know what to think, but she wants to find out the secrets the Blue Bloods are keeping. But is she herself in danger?","['weddings', 'relationships', 'family', 'death', 'university', 'break ups', 'friendship', 'divorce']","[0.30325835943222046, 0.20769745111465454, 0.14486931264400482, 0.14063167572021484, 0.1315596103668213, 0.10397744923830032, 0.07637064903974533, 0.07271365821361542]"
5,"A collection of stories about time, space, and the evolution of the universe in which the author blends mathematics with poetic imagination. “Calvino does what very few other writers can do: he describes imaginary worlds with the most extraordinary precision and beauty” (Gore Vidal, New York Review of Books). Translated by William Weaver. A Helen and Kurt Wolff Book
","['family', 'weddings', 'university', 'relationships', 'friendship', 'divorce', 'death', 'break ups']","[0.09897226840257645, 0.07664576172828674, 0.0744505375623703, 0.0355096235871315, 0.01324392668902874, 0.009453524835407734, 0.007502014748752117, 0.00571189820766449]"
6,"Montmorency, the man leading a double life, torn between his two identities, returns in this gripping sequel.Five years after giving up his life of crime in the sewers, Montmorency is back in London. But his evil alter ego, Scarper has returned too, pulling him back into a dark world of crime.Montmorency's old friend and fellow government agent, Lord George Fox-Selwyn, fights to rescue him from disaster and risks calling in Montmorency's prison doctor, Robert Farcett, to help.However, when Montmorency turns up on a Scottish Island, he finds himself caught in another web of mystery.","['weddings', 'relationships', 'family', 'death', 'break ups', 'university', 'friendship', 'divorce']","[0.7826570868492126, 0.29591646790504456, 0.23824967443943024, 0.07991396635770798, 0.0784202441573143, 0.0676276907324791, 0.04033057391643524, 0.031127555295825005]"
7,"Long ago the Tripods, gigantic three-legged machines, descended upon Earth and took control. They used ""Caps,"" administered ceremoniously near each child's 14th birthday, to control humans' brains and keep them docile. Now there is pleasant life in villages, little technology, and no war--but there is no freedom either. In this powerful and suspenseful series, 13-year-old Will Parker and his friends deal with hunger, humanity, envy, and pride as they struggle to find out all they can about the Tripods and overthrow their rule. Written by John Christopher, author of many juvenile science fiction and fantasy books, The Tripods Trilogy is sure to make a science fiction fan out of any reader--young or old. This box set of paperbacks includes The White Mountains, The City of Gold and Lead, and The Pool of Fire, the chilling conclusion to the series that poses the question: Who would rule the world if it were freed from the aliens? (Ages 9 and older) --Bonnie Bouman","['weddings', 'relationships', 'family', 'death', 'divorce', 'university', 'friendship', 'break ups']","[0.558198869228363, 0.4383314847946167, 0.3259223401546478, 0.12059074640274048, 0.07066930830478668, 0.07002276182174683, 0.06424442678689957, 0.03119477443397045]"
8,"Take a wonderfully crazed excursion into the demented heart of a tropical paradise—a world of cargo cults, cannibals, mad scientists, ninjas, and talking fruit bats. Our bumbling hero is Tucker Case, a hopeless geek trapped in a cool guy's body, who makes a living as a pilot for the Mary Jean Cosmetics Corporation. But when he demolishes his boss's pink plane during a drunken airborne liaison, Tuck must run for his life from Mary Jean's goons. Now there's only one employment opportunity left for him: piloting shady secret missions for an unscrupulous medical missionary and a sexy blond high priestess on the remotest of Micronesian hells. Here is a brazen, ingenious, irreverent, and wickedly funny novel from a modern master of the outrageous.","['weddings', 'relationships', 'family', 'university', 'friendship', 'divorce', 'break ups', 'death']","[0.8277614712715149, 0.37672755122184753, 0.31391337513923645, 0.2541548013687134, 0.15495829284191132, 0.11211597919464111, 0.0390978679060936, 0.017941167578101158]"
9,"A witty, sharply observed debut novel about a young woman who finds unexpected salvation while working in a quirky used bookstore in Manhattan.Impressionable and idealistic, Esme Garland is a young British woman who finds herself studying art history in New York. She loves her apartment and is passionate about the city and her boyfriend; her future couldn’t look brighter. Until she finds out that she’s pregnant.Esme’s boyfriend, Mitchell van Leuven, is old-money rich, handsome, successful, and irretrievably damaged. When he dumps Esme—just before she tries to tell him about the baby—she resolves to manage alone. She will keep the child and her scholarship, while finding a part-time job to make ends meet. But that is easier said than done, especially on a student visa.The Owl is a shabby, second-hand bookstore on the Upper West Side, an all-day, all-night haven for a colorful crew of characters: handsome and taciturn guitar player Luke; Chester, who hyperventilates at the mention of Lolita; George, the owner, who lives on protein shakes and idealism; and a motley company of the timeless, the tactless, and the homeless. The Owl becomes a nexus of good in a difficult world for Esme—but will it be enough to sustain her? Even when Mitchell, repentant and charming, comes back on the scene?A rousing celebration of books, of the shops where they are sold, and of the people who work, read, and live in them, The Bookstore is also a story about emotional discovery, the complex choices we all face, and the accidental inspirations that make a life worth the reading.","['weddings', 'relationships', 'family', 'friendship', 'university', 'break ups', 'divorce', 'death']","[0.44630107283592224, 0.3117668628692627, 0.25308459997177124, 0.2501125633716583, 0.22235310077667236, 0.20716145634651184, 0.18205960094928741, 0.1086067259311676]"
