,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,index,Unnamed: 0,bookId,title,series,author,rating,description,language,isbn,genres,characters,bookFormat,edition,pages,publisher,publishDate,firstPublishDate,awards,numRatings,ratingsByStars,likedPercent,setting,coverImg,bbeScore,bbeVotes,price,Fiction,Nonfiction,Young Adult,Childrens,New Adult,Fantasy,Erotica,History,Dystopia,Poetry,Biography,Manga,Thriller,Graphic Novels,Romance,university,relationships,break ups,divorce,weddings,death,family,friendship,labeled? ,Contains True?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39,822",34838660-not-part-of-the-plan,Not Part of the Plan,Blue Moon #4,Lucy Score (Goodreads Author),4.46,"From the Wall Street Journal and #1 Amazon bestselling author comes a new installment to the Blue Moon small town romance series.  A womanizing bad boy with a motorcycle and sexy-as-sin smile is not part of Emma’s life plan.  She moved cross-country to be close to family and finally settle down in hippie, trippy, nosey Blue Moon Bend. But when famed fashion photographer Niko shows up with his leather jacket, underwear-melting voice, and a problem, she sees nothing but trouble.  He’s all wrong for Emma, but that doesn’t stop the attraction from boiling over.  Niko doesn’t let being friend zoned get in his way. Once he gets his hands—and his mouth—on her, will their friendship survive? Or will he lose everything he’s worked for back in New York to the redhead who dominates his every thought? ",English,B06Y695J64,"['Romance', 'Contemporary Romance', 'Contemporary', 'Humor', 'Fiction', 'Adult', 'Chick Lit', 'M F Romance', 'Family']",[],Kindle Edition,False,385,That's What She Said Publishing,April 10th 2017,False,[],"3,070","['1778', '967', '286', '34', '5']",99.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1491912364l/34838660._SY475_.jpg,83,1,False,Fiction,False,False,False,False,False,False,False,False,False,False,False,False,False,Romance,False,True,False,False,False,False,False,False,Yes,1.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"34,235",20176552-dragon-age-volume-1,"Dragon Age, Volume 1",Dragon Age Graphic Novels #1-3,"David Gaider, Chad Hardin (Illustrator), Anthony Palumbo (Illustrator), Michael Atiyeh (Illustrator)",4.26,"Helping set the stage for BioWare's hotly anticipated ""Dragon Age: Inquisition,"" this deluxe oversized hardcover collects every Dark Horse Dragon Age comic to date--""The Silent Grove, Those Who Speak,"" and ""Until We Sleep""-- an epic trilogy complete in one volume, written by ""Dragon Age ""lead writer David Gaider! This edition also features extensive annotations from the creators of the comics as well as a section of never-before-seen related material.",English,"9,780,000,000,000.00","['Fantasy', 'Comics', 'Graphic Novels', 'Video Games', 'Fiction', 'Games', 'Adult', 'Graphic Novels Comics', 'High Fantasy', 'Comics Manga']",[],Hardcover,Library Edition,227,Dark Horse Books,June 17th 2014,False,[],550,"['253', '201', '85', '10', '1']",98.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388959405l/20176552.jpg,91,1,$141.20,Fiction,False,False,False,False,Fantasy,False,False,False,False,False,False,False,Graphic Novels,False,False,False,False,False,False,False,False,False,Yes,0.0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"27,904",124110.Dangerous_to_Know,Dangerous to Know,False,Barbara Taylor Bradford (Goodreads Author),3.73,"Sebastian Locke, the fifty-six-year-old patriarch of a powerful American family, is handsome, charismatic, and a man of immense charm and intelligence. He is the chairman of the philanthropic Locke Foundation, funded by the vast family fortune built by his forefathers. Committed to relieving the suffering of those in genuine need, Locke travels the globe giving away millions a year to the poor, the sick, and the innocent victims of natural disasters and wars. He is seen as a beacon of light in today's darkly violent world.That is why the police are profoundly baffled when Sebastian Locke is found dead at his country estate under mysterious circumstances. Has he been murdered? And if so, who would have wanted to kill the world's greatest philanthropist? Could such an upstanding man have had enemies?Vivienne Trent, an American journalist, had been fascinated by Locke as a child, married him when she was a young woman, then later divorced him, but had always stayed close to him. Aware that there had been another side to this enigmatic man, she sets out to find the truth about his death and about Locke himself, much to the annoyance of his two grown children, who find her obsession irritating.As she prepares to write a profile of Locke for the London Sunday Times, Vivienne uncovers startling revelations, revelations that turn her life around.",English,"9,780,000,000,000.00","['Romance', 'Fiction', 'Mystery', 'Chick Lit', 'Novels', 'Adult Fiction', 'Suspense', 'Contemporary', 'Womens Fiction']",['Sebastian Locke'],Paperback,False,400,HarperTorch,April 8th 1996,10/30/1995,[],"1,179","['327', '363', '356', '104', '29']",89.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410136522l/124110.jpg,96,1,$2.86,Fiction,False,False,False,False,False,False,False,False,False,False,False,False,False,Romance,False,True,False,True,False,True,True,False,Yes,1.0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"10,515",1046450.The_Wheel_of_Fortune,The Wheel of Fortune,False,Susan Howatch,4.11,"""Take me back to Oxmoon, the lost paradise of our childhood. Take me back to Oxmoon and make it live again!""Oxmoon, the rambling old mansion on a sprawling estate in Wales, has been for generations, the dream, the downfall, and the destiny of the wealthy Godwin family. They are entranced by tales of glittering parties where young lovers waltzed beneath the chandeliers as the orchestra played ""The Blue Danube Waltz"". They are ensnared by the family legacy of madness, murder, and doomed romance --- the disastrous consequences of 19th-century Gwyneth Godwin's scandalous affair with sheep farmer Owen Bryn-Davies.",English,"9,780,000,000,000.00","['Historical Fiction', 'Fiction', 'Romance', 'Historical', 'British Literature', 'Novels', 'Historical Romance', 'Literary Fiction', 'Unfinished', 'Drama']",[],Paperback,False,"1,171",Fawcett,April 12th 1985,10/29/1984,[],"2,835","['1207', '944', '528', '106', '50']",94.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338171897l/1046450.jpg,234,3,$6.42,Fiction,False,False,False,False,False,False,False,False,False,False,False,False,False,Romance,False,True,False,False,False,False,True,False,Yes,1.0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,935,872333.Blue_Bloods,Blue Bloods,Blue Bloods #1,Melissa de la Cruz (Goodreads Author),3.69,"When the Mayflower set sail in 1620, it carried on board the men and women who would shape America: Miles Standish; John Alden; Constance Hopkins. But some among the Pilgrims were not pure of heart; they were not escaping religious persecution. Indeed, they were not even human. They were vampires.The vampires assimilated quickly into the New World. Rising to levels of enormous power, wealth, and influence, they were the celebrated blue bloods of American society. The Blue Bloods vowed that their immortal status would remain a closely guarded secret. And they kept that secret for centuries. But now, in New York City, the secret is seeping out. Schuyler Van Alen is a sophomore at a prestigious private school. She prefers baggy, vintage clothes instead of the Prada and pearls worn by her classmates, and she lives with her reclusive grandmother in a dilapated mansion. Schuyler is a loner...and happy that way. Suddenly, when she turns fifteen, there is a visible mosaic of blue veins on her arm. She starts to crave raw food and she is having flashbacks to ancient times. Then a popular girl from her school is found dead... drained of all her blood. Schuyler doesn't know what to think, but she wants to find out the secrets the Blue Bloods are keeping. But is she herself in danger?",English,"9,780,000,000,000.00","['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Urban Fantasy', 'Supernatural', 'Fiction', 'Paranormal Romance', 'Angels']","['Schuyler Van Alen', 'Mimi Force', 'Bliss Llewellyn', 'Jack Force', 'Cordelia Van Alen', 'Oliver Hazard-Perry', 'Dylan Ward', 'Charles Force', 'Aggie Carondolet']",Hardcover,1st Edition,302,Hyperion,March 27th 2007,3/27/2006,[],"132,361","['40167', '37397', '34566', '13633', '6598']",85.0,"['Manhattan, New York City, New York (United States)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322281515l/872333.jpg,"7,045",100,$8.17,Fiction,False,Young Adult,False,False,Fantasy,False,False,False,False,False,False,False,False,Romance,False,False,False,False,False,False,False,False,Yes,0.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"39,518",345592.t_zero,t zero,False,"Italo Calvino, William Weaver (Translator)",3.88,"A collection of stories about time, space, and the evolution of the universe in which the author blends mathematics with poetic imagination. “Calvino does what very few other writers can do: he describes imaginary worlds with the most extraordinary precision and beauty” (Gore Vidal, New York Review of Books). Translated by William Weaver. A Helen and Kurt Wolff Book
",English,"9,780,000,000,000.00","['Fiction', 'Short Stories', 'Italian Literature', 'Literature', 'Science Fiction', 'Italy', 'Fantasy', 'Literary Fiction', '20th Century', 'Biology']",[],Paperback,False,168,Mariner Books,October 4th 1976,1/1/1967,['John Florio Prize for William Weaver (1971)'],"1,845","['540', '717', '453', '102', '33']",93.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388622750l/345592.jpg,83,1,$5.92,Fiction,False,False,False,False,Fantasy,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Yes,0.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"37,610",1700000.Montmorency_On_The_Rocks,"Montmorency On The Rocks: Doctor, Aristocrat, Murderer?",Montmorency #2,Eleanor Updale,3.89,"Montmorency, the man leading a double life, torn between his two identities, returns in this gripping sequel.Five years after giving up his life of crime in the sewers, Montmorency is back in London. But his evil alter ego, Scarper has returned too, pulling him back into a dark world of crime.Montmorency's old friend and fellow government agent, Lord George Fox-Selwyn, fights to rescue him from disaster and risks calling in Montmorency's prison doctor, Robert Farcett, to help.However, when Montmorency turns up on a Scottish Island, he finds himself caught in another web of mystery.",English,"9,780,000,000,000.00","['Historical Fiction', 'Young Adult', 'Mystery', 'Historical', 'Fiction', 'Adventure', 'Crime', 'British Literature', 'Victorian', 'Thriller']",[],Hardcover,False,368,Orchard Books,April 1st 2005,4/4/2004,[],"1,240","['347', '503', '314', '63', '13']",94.0,"['United Kingdom', 'London, England']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328867940l/1700000.jpg,87,1,$3.73,Fiction,False,Young Adult,False,False,False,False,False,False,False,False,False,Thriller,False,False,False,False,False,False,False,False,False,True,Yes,1.0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"41,968",101942.The_Tripods_Trilogy,The Tripods Trilogy,The Tripods #1-3,John Christopher,4.19,"Long ago the Tripods, gigantic three-legged machines, descended upon Earth and took control. They used ""Caps,"" administered ceremoniously near each child's 14th birthday, to control humans' brains and keep them docile. Now there is pleasant life in villages, little technology, and no war--but there is no freedom either. In this powerful and suspenseful series, 13-year-old Will Parker and his friends deal with hunger, humanity, envy, and pride as they struggle to find out all they can about the Tripods and overthrow their rule. Written by John Christopher, author of many juvenile science fiction and fantasy books, The Tripods Trilogy is sure to make a science fiction fan out of any reader--young or old. This box set of paperbacks includes The White Mountains, The City of Gold and Lead, and The Pool of Fire, the chilling conclusion to the series that poses the question: Who would rule the world if it were freed from the aliens? (Ages 9 and older) --Bonnie Bouman",English,"9,780,000,000,000.00","['Science Fiction', 'Young Adult', 'Fiction', 'Childrens', 'Dystopia', 'Science Fiction Fantasy', 'Fantasy', 'Middle Grade', 'Adventure', 'Aliens']",[],Paperback,False,224,Collier Books,January 1st 1988,11/5/1967,[],"2,652","['1081', '1087', '400', '65', '19']",97.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1326400815l/101942.jpg,78,1,$13.85,Fiction,False,Young Adult,Childrens,False,Fantasy,False,False,Dystopia,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"6,242",33455.Island_of_the_Sequined_Love_Nun,Island of the Sequined Love Nun,False,Christopher Moore (Goodreads Author),3.80,"Take a wonderfully crazed excursion into the demented heart of a tropical paradise—a world of cargo cults, cannibals, mad scientists, ninjas, and talking fruit bats. Our bumbling hero is Tucker Case, a hopeless geek trapped in a cool guy's body, who makes a living as a pilot for the Mary Jean Cosmetics Corporation. But when he demolishes his boss's pink plane during a drunken airborne liaison, Tuck must run for his life from Mary Jean's goons. Now there's only one employment opportunity left for him: piloting shady secret missions for an unscrupulous medical missionary and a sexy blond high priestess on the remotest of Micronesian hells. Here is a brazen, ingenious, irreverent, and wickedly funny novel from a modern master of the outrageous.",English,"9,780,000,000,000.00","['Fiction', 'Humor', 'Fantasy', 'Comedy', 'Adventure', 'Adult', 'Audiobook', 'Contemporary', 'Adult Fiction', 'Novels']","['Tucker Case', 'Kimi', 'Roberto the fruitbat from Guam', 'Beth Curtis', 'Sebastian Curtis']",Paperback,False,325,Harper Perennial,May 25th 2004,8/1/1997,[],"29,792","['7379', '11651', '8618', '1780', '364']",93.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1168444146l/33455._SY475_.jpg,445,7,$5.94,Fiction,False,False,False,False,Fantasy,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"37,402",16058645-the-bookstore,The Bookstore,False,Deborah Meyler (Goodreads Author),3.08,"A witty, sharply observed debut novel about a young woman who finds unexpected salvation while working in a quirky used bookstore in Manhattan.Impressionable and idealistic, Esme Garland is a young British woman who finds herself studying art history in New York. She loves her apartment and is passionate about the city and her boyfriend; her future couldn’t look brighter. Until she finds out that she’s pregnant.Esme’s boyfriend, Mitchell van Leuven, is old-money rich, handsome, successful, and irretrievably damaged. When he dumps Esme—just before she tries to tell him about the baby—she resolves to manage alone. She will keep the child and her scholarship, while finding a part-time job to make ends meet. But that is easier said than done, especially on a student visa.The Owl is a shabby, second-hand bookstore on the Upper West Side, an all-day, all-night haven for a colorful crew of characters: handsome and taciturn guitar player Luke; Chester, who hyperventilates at the mention of Lolita; George, the owner, who lives on protein shakes and idealism; and a motley company of the timeless, the tactless, and the homeless. The Owl becomes a nexus of good in a difficult world for Esme—but will it be enough to sustain her? Even when Mitchell, repentant and charming, comes back on the scene?A rousing celebration of books, of the shops where they are sold, and of the people who work, read, and live in them, The Bookstore is also a story about emotional discovery, the complex choices we all face, and the accidental inspirations that make a life worth the reading.",English,"9,780,000,000,000.00","['Fiction', 'Books About Books', 'Romance', 'Chick Lit', 'Contemporary', 'Adult Fiction', 'Adult', 'New York', 'Womens Fiction', 'Novels']",[],Paperback,False,336,Gallery Books,August 20th 2013,False,[],"5,994","['678', '1401', '2179', '1183', '553']",71.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1376783214l/16058645.jpg,87,1,$2.86,Fiction,False,False,False,False,False,False,False,False,False,False,False,False,False,Romance,True,True,True,False,False,False,False,True,Yes,1.0
