,university,relationships,break ups,divorce,wedding,death,family,friendship
0,False,True,False,False,True,False,True,True
1,False,False,False,True,False,False,False,False
2,False,False,False,True,False,True,True,False
3,False,False,False,False,False,False,True,True
4,True,False,False,False,False,False,True,False
5,False,False,False,True,True,False,False,False
6,False,False,False,True,False,False,False,True
7,False,False,False,True,True,False,False,True
8,False,False,False,False,True,True,False,False
9,False,True,False,True,True,False,False,True
10,False,False,False,False,True,True,False,False
11,False,False,False,False,True,False,True,False
12,False,False,True,False,True,False,False,False
13,True,False,False,False,False,False,False,False
14,False,False,True,False,False,False,False,False
15,False,True,False,False,True,False,False,False
16,True,False,False,False,True,True,False,True
17,False,False,False,False,False,False,False,False
18,True,False,False,False,True,False,False,False
19,False,True,False,False,True,False,False,True
20,False,False,True,False,True,False,True,False
21,True,True,True,False,False,False,True,True
22,False,True,False,True,True,False,True,False
23,False,False,True,False,False,False,False,False
24,False,False,True,True,True,False,False,False
25,True,True,False,False,False,False,False,True
26,False,False,False,False,True,False,False,False
27,False,False,True,False,False,False,False,False
28,False,True,False,True,False,True,False,False
29,False,False,False,False,True,False,False,False
30,True,False,True,False,True,False,False,True
31,True,True,True,True,False,False,True,True
32,False,False,False,True,False,True,False,False
33,False,False,False,False,False,False,True,False
34,True,True,False,True,True,True,True,False
35,False,False,False,False,False,False,False,False
36,False,True,False,False,True,False,False,True
37,True,False,True,False,True,False,True,False
38,False,False,True,True,True,False,True,True
39,True,False,False,False,True,False,False,False
40,False,False,True,False,True,False,False,False
41,False,False,True,False,True,False,False,False
42,False,False,False,False,True,True,False,False
43,False,False,False,True,False,False,False,False
44,True,False,False,False,False,False,True,False
45,False,False,True,False,True,False,False,False
46,False,False,False,False,False,True,False,False
47,False,False,False,True,True,False,True,False
48,False,False,False,False,False,True,False,True
49,False,True,False,False,True,False,True,False
50,False,False,False,False,True,True,False,True
51,False,False,False,False,True,False,False,False
52,False,False,False,False,False,True,False,False
53,False,False,False,False,True,True,False,False
54,False,False,False,False,True,True,False,False
55,False,False,False,False,True,False,False,False
56,False,False,False,False,False,False,False,False
57,True,False,False,False,True,True,False,True
58,False,False,True,False,False,False,True,False
59,True,False,False,False,False,False,False,True
60,True,False,False,False,True,False,False,True
61,False,False,False,False,False,True,True,True
62,False,False,False,False,False,False,False,False
63,True,False,True,False,False,False,True,False
64,False,False,False,False,False,False,False,False
65,True,False,False,True,False,False,False,False
66,False,False,True,False,True,False,False,False
67,True,False,False,True,False,False,False,False
68,False,False,False,False,False,False,False,False
69,True,False,False,False,True,False,True,True
70,True,False,False,True,False,False,True,False
71,True,True,True,True,False,True,False,False
72,True,False,False,False,False,True,True,False
73,False,False,True,False,True,True,True,False
74,False,False,False,False,True,False,False,False
75,False,False,True,False,True,True,False,True
76,True,False,False,False,False,False,False,False
77,True,False,False,False,False,False,False,True
78,True,False,False,False,False,True,False,False
