,university,relationships,break ups,divorce,wedding,death,family,friendship
0,1e-06,0.999999,1e-06,1e-06,1e-06,1e-06,0.999999,0.999999
1,1e-06,1e-06,1e-06,0.999999,0.00016178037986172127,1e-06,1e-06,1e-06
2,1e-06,3.627028775743524e-06,1e-06,0.999999,0.999999,0.999999,0.999999,1e-06
3,1e-06,0.999999,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06
4,0.999999,1e-06,1e-06,1e-06,0.999999,1e-06,0.999999,1e-06
5,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06,1e-06
6,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999
7,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06,0.999999
8,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06
9,1e-06,0.999999,1e-06,0.999999,1e-06,1e-06,1e-06,1e-06
10,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06
11,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06
12,1e-06,1e-06,0.999999,1e-06,0.0020294049832950555,1e-06,1e-06,1e-06
13,0.999999,1e-06,1e-06,1e-06,0.000428376427230146,1e-06,1e-06,1e-06
14,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06
15,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
16,0.999999,5.426228974618333e-06,1e-06,1e-06,1e-06,0.999999,1e-06,0.999999
17,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06
18,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
19,1e-06,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999
20,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06,0.999999,1e-06
21,0.999999,0.999999,0.999999,1e-06,0.999999,1e-06,0.999999,0.999999
22,1e-06,0.999999,1e-06,0.999999,1e-06,1e-06,0.999999,1e-06
23,1e-06,1e-06,0.999999,1e-06,0.999999,1e-06,1e-06,1e-06
24,1e-06,1e-06,0.999999,0.999999,1e-06,1e-06,1e-06,1e-06
25,0.999999,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06
26,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
27,1e-06,1e-06,0.999999,1e-06,0.999999,1e-06,1e-06,1e-06
28,1e-06,0.999999,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06
29,1e-06,1e-06,1e-06,1e-06,4.1883000450864944e-05,1e-06,1e-06,1e-06
30,0.999999,0.999999,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06
31,0.999999,0.999999,0.999999,0.999999,1e-06,1e-06,0.999999,1e-06
32,1e-06,1e-06,1e-06,0.999999,1e-06,0.999999,1e-06,0.999999
33,0.999999,1e-06,1e-06,1e-06,0.999999,1e-06,0.999999,0.999999
34,0.999999,0.999999,1e-06,0.999999,1e-06,0.999999,0.999999,1e-06
35,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06
36,1e-06,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999
37,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06,0.999999,2.5637167040981734e-06
38,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06,0.999999,0.999999
39,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
40,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06
41,1e-06,1e-06,0.999999,1e-06,0.0017947227441438348,1e-06,1e-06,1e-06
42,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06
43,1e-06,1e-06,1e-06,0.999999,0.000408582066987862,1e-06,1e-06,1e-06
44,0.999999,1e-06,1e-06,1e-06,0.999999,1e-06,0.999999,1e-06
45,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06
46,1e-06,1e-06,0.999999,1e-06,0.999999,1e-06,1e-06,0.999999
47,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06,0.999999,0.999999
48,2.4422442529074257e-06,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06,0.999999
