,university,relationships,break ups,divorce,wedding,death,family,friendship
0,False,True,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False
2,False,True,False,True,False,True,True,False
3,False,True,False,False,False,False,True,False
4,False,False,False,False,False,False,False,False
5,False,False,False,False,False,False,False,False
6,False,False,False,False,False,False,False,True
7,False,False,False,False,False,False,False,True
8,False,False,False,False,False,False,False,False
9,True,True,True,False,False,False,False,True
10,False,False,False,False,False,False,False,False
11,False,False,False,False,False,False,False,True
12,False,True,False,False,False,False,False,False
13,False,False,False,False,False,False,False,False
14,False,False,False,False,False,False,False,False
15,True,True,False,False,False,False,False,True
16,False,False,False,False,False,False,False,False
17,False,True,False,False,False,False,False,False
18,False,False,False,False,False,False,False,False
19,False,False,False,False,False,False,False,False
20,False,False,False,False,False,True,True,False
21,False,False,False,False,False,False,False,False
22,False,True,False,False,False,False,False,False
23,False,False,False,False,False,False,False,False
24,False,False,False,False,False,False,False,False
25,False,False,False,False,False,False,False,False
26,False,False,False,False,False,False,False,False
27,False,False,False,False,False,False,False,False
28,False,False,False,False,False,True,False,True
29,False,True,False,False,False,False,False,False
30,False,False,False,False,False,False,False,True
31,False,False,False,False,False,True,False,False
32,False,False,False,False,False,False,False,True
33,False,False,False,False,False,False,False,True
34,True,True,True,False,False,True,True,False
35,False,False,False,False,False,False,False,False
36,False,False,False,False,False,False,False,False
37,False,False,False,False,False,False,True,False
38,False,False,False,False,False,False,False,True
39,False,False,False,False,False,False,False,False
40,False,False,False,False,False,False,False,False
41,False,False,False,False,False,False,True,False
42,False,False,False,False,False,False,False,True
43,False,False,False,False,False,False,False,False
44,False,False,False,False,False,False,False,False
45,False,False,False,False,False,False,False,False
46,True,False,False,False,False,False,True,True
47,False,True,False,False,False,False,True,False
48,False,False,False,False,True,False,True,False
49,False,False,False,False,False,False,True,False
50,False,False,False,False,False,False,False,False
51,False,False,False,False,False,False,True,False
52,False,True,False,False,False,False,False,False
53,False,False,False,False,False,True,False,False
54,False,False,False,False,False,False,False,False
55,False,False,False,False,False,False,False,False
56,False,False,False,False,False,False,False,False
57,False,False,False,False,False,False,True,True
