,university,relationships,break ups,divorce,wedding,death,family,friendship
Document 0,False,False,False,False,True,False,False,True
Document 1,False,True,False,False,False,False,True,False
Document 2,True,False,False,False,False,False,False,True
Document 3,True,False,False,False,True,False,False,True
Document 4,True,False,False,False,False,False,False,True
Document 5,False,False,False,False,False,False,True,False
Document 6,False,True,False,False,False,False,False,True
Document 7,False,False,True,False,False,False,False,True
Document 8,False,False,True,False,True,False,False,True
Document 9,False,False,False,True,False,False,True,True
Document 10,False,False,True,False,False,False,False,True
Document 11,False,False,False,False,False,True,False,True
Document 12,False,False,False,False,False,False,False,True
Document 13,False,False,False,False,False,True,True,True
Document 14,False,False,False,False,False,False,True,False
Document 15,True,False,False,False,False,False,False,True
Document 16,True,False,False,False,False,False,False,True
Document 17,True,True,False,False,False,False,False,True
Document 18,False,False,False,False,False,False,False,True
Document 19,False,False,False,False,False,True,False,True
Document 20,False,False,False,False,False,False,False,True
Document 21,True,False,False,False,False,False,False,True
Document 22,False,False,True,False,False,False,False,True
Document 23,False,False,False,False,False,True,False,True
Document 24,True,False,False,False,True,False,True,False
Document 25,False,False,False,False,False,False,True,True
Document 26,False,True,False,False,False,False,False,True
Document 27,False,False,False,False,False,True,True,False
Document 28,False,False,False,False,False,False,True,True
Document 29,False,False,False,False,False,False,True,True
Document 30,False,False,False,True,False,False,False,True
Document 31,False,False,False,False,False,True,False,True
Document 32,False,True,False,False,False,False,False,True
Document 33,True,False,False,False,False,False,False,True
Document 34,False,False,False,True,False,False,False,True
Document 35,False,False,True,False,False,True,False,False
Document 36,False,True,False,False,False,True,False,True
Document 37,False,False,False,True,False,False,True,True
Document 38,False,False,False,False,False,False,False,True
Document 39,False,False,False,False,False,False,False,True
Document 40,False,False,True,False,False,True,False,True
Document 41,False,False,False,False,False,True,False,True
Document 42,False,False,False,False,False,False,True,True
Document 43,False,False,True,False,False,True,False,False
Document 44,False,False,True,False,False,True,False,True
Document 45,False,False,True,False,False,True,False,False
Document 46,False,True,False,False,True,False,False,True
Document 47,False,False,False,True,False,False,False,True
Document 48,False,False,False,False,False,True,False,True
Document 49,False,False,False,False,False,False,False,True
Document 50,False,False,False,False,False,False,True,True
Document 51,False,False,False,False,False,True,False,True
Document 52,False,False,False,False,False,False,False,True
Document 53,False,False,False,False,False,False,False,True
Document 54,False,False,False,False,False,True,True,True
Document 55,False,True,False,False,False,False,False,False
Document 56,True,True,False,False,False,False,False,True
Document 57,False,False,False,False,False,False,False,True
Document 58,False,False,False,False,False,False,True,True
Document 59,False,False,False,False,False,False,True,True
Document 60,True,False,False,False,False,False,True,False
Document 61,False,False,False,False,True,False,False,True
Document 62,False,False,True,False,False,False,True,False
Document 63,True,False,False,False,False,False,False,True
Document 64,False,False,False,False,False,False,False,True
Document 65,False,False,False,False,False,True,False,True
Document 66,False,False,False,False,False,True,False,True
Document 67,False,False,False,False,False,False,True,True
Document 68,False,False,False,False,True,True,False,True
Document 69,False,False,False,False,True,False,False,True
Document 70,True,False,False,False,False,False,False,True
Document 71,False,True,False,False,False,False,False,True
Document 72,False,False,True,False,False,False,False,False
Document 73,False,False,False,False,False,False,False,True
Document 74,False,True,False,False,False,False,True,False
Document 75,False,False,False,True,False,False,False,True
Document 76,False,True,False,False,False,False,False,False
Document 77,True,False,False,False,False,False,False,True
Document 78,False,False,True,False,False,False,False,True
Document 79,False,True,False,False,False,False,False,True
Document 80,True,False,False,False,False,False,False,True
Document 81,False,False,False,True,False,True,False,True
Document 82,False,False,True,False,False,True,False,True
Document 83,False,False,False,True,False,False,False,True
Document 84,False,True,False,False,False,False,False,True
Document 85,False,True,False,False,False,False,False,False
Document 86,False,False,False,False,False,False,False,True
Document 87,False,False,True,False,False,False,False,True
Document 88,False,False,False,False,False,False,False,True
Document 89,False,False,False,False,True,False,False,True
Document 90,False,False,True,False,False,True,False,True
Document 91,False,False,False,False,False,True,False,True
Document 92,False,False,False,False,False,False,False,True
Document 93,False,False,False,False,False,False,False,True
Document 94,False,False,False,False,False,False,True,True
Document 95,False,False,False,False,False,False,True,True
Document 96,False,False,False,False,False,False,False,True
Document 97,False,True,False,False,False,False,False,True
Document 98,False,False,True,False,False,False,False,True
Document 99,True,False,False,False,False,False,False,True
Document 100,False,False,True,False,False,False,False,True
Document 101,True,False,False,False,False,False,False,True
Document 102,False,False,False,False,False,True,False,True
Document 103,False,True,False,False,False,False,False,True
Document 104,True,False,False,False,False,False,False,True
Document 105,False,False,False,False,True,True,False,True
Document 106,False,False,True,False,False,False,False,True
Document 107,False,False,False,False,True,False,False,True
Document 108,False,False,False,False,False,False,False,True
Document 109,False,False,True,False,False,False,False,True
Document 110,False,False,False,True,False,False,False,True
Document 111,False,True,False,False,False,False,True,False
Document 112,False,True,False,False,False,False,True,True
Document 113,False,False,False,False,False,False,False,True
Document 114,False,False,False,False,False,True,False,True
Document 115,True,False,False,False,False,False,False,True
Document 116,True,False,False,False,False,False,False,True
Document 117,False,False,False,False,False,False,False,True
Document 118,False,True,False,False,False,False,False,False
Document 119,False,False,False,False,False,False,True,True
Document 120,True,False,False,False,False,True,False,True
Document 121,False,False,False,False,False,False,False,True
Document 122,False,False,False,True,False,False,False,True
Document 123,False,False,False,False,False,True,False,True
Document 124,False,False,False,False,False,False,True,True
Document 125,False,False,False,False,False,False,True,True
Document 126,True,False,False,False,False,False,False,True
Document 127,False,False,False,False,False,False,False,True
Document 128,False,False,True,False,False,False,True,True
Document 129,False,False,False,False,False,True,True,True
Document 130,False,False,False,False,False,False,False,True
Document 131,False,False,False,False,False,True,False,True
Document 132,False,False,False,False,False,False,False,True
Document 133,False,False,False,False,True,False,False,True
Document 134,False,False,True,False,False,False,False,True
Document 135,False,False,False,True,False,False,False,True
Document 136,False,False,False,False,False,False,False,True
Document 137,False,False,False,False,False,True,False,True
Document 138,False,False,False,False,False,False,True,True
Document 139,False,False,False,False,False,False,False,True
Document 140,False,False,False,False,False,False,True,True
Document 141,True,True,False,False,False,False,False,False
Document 142,False,False,True,False,False,False,False,True
Document 143,False,False,False,False,False,True,False,True
Document 144,False,True,False,False,False,False,True,True
Document 145,False,False,True,False,False,False,False,True
Document 146,False,False,False,False,False,False,True,True
Document 147,False,False,False,False,True,False,False,True
Document 148,False,True,False,False,False,False,False,True
Document 149,False,True,False,False,False,False,False,True
Document 150,False,False,True,False,False,False,False,True
Document 151,False,False,True,False,False,False,False,True
Document 152,False,False,True,False,False,False,False,True
Document 153,False,True,False,False,False,False,False,True
Document 154,False,False,False,False,False,True,False,True
Document 155,True,False,False,False,False,False,False,True
Document 156,False,False,False,False,False,False,False,True
Document 157,False,False,True,False,False,False,True,True
Document 158,False,False,False,False,False,False,False,True
Document 159,True,False,False,False,False,False,False,True
Document 160,False,False,False,False,False,False,False,True
Document 161,False,False,True,False,False,False,False,True
Document 162,False,False,True,False,False,True,False,True
Document 163,False,False,True,False,False,False,False,True
Document 164,True,False,False,False,False,False,False,True
Document 165,False,False,False,False,True,False,False,True
Document 166,False,False,False,False,False,False,True,False
Document 167,False,False,False,False,False,False,False,True
Document 168,False,False,False,False,False,False,True,True
Document 169,False,True,False,False,False,True,False,True
Document 170,False,True,False,False,False,False,True,True
Document 171,False,False,False,True,False,False,False,True
Document 172,False,False,False,False,False,False,False,True
Document 173,False,False,False,False,False,True,False,True
Document 174,False,False,False,False,True,False,False,True
Document 175,True,False,False,False,False,False,False,True
Document 176,False,False,True,False,False,False,False,True
Document 177,False,True,False,False,False,False,False,True
Document 178,True,False,False,False,False,False,False,True
Document 179,False,False,False,False,False,False,False,True
Document 180,False,True,False,False,False,False,False,True
Document 181,False,False,False,False,False,False,False,True
Document 182,False,False,True,False,False,False,False,True
Document 183,False,False,False,False,False,True,False,True
Document 184,False,False,False,False,False,False,True,False
Document 185,True,False,False,False,False,False,False,True
Document 186,False,False,False,True,False,False,False,True
Document 187,False,False,False,True,False,False,False,True
Document 188,False,False,False,False,False,True,True,False
Document 189,False,False,False,False,False,False,True,True
Document 190,False,False,True,False,True,False,False,True
Document 191,False,False,False,False,False,True,False,True
Document 192,False,False,False,True,False,False,False,True
Document 193,False,False,False,False,False,False,False,True
Document 194,False,False,False,True,False,False,False,True
Document 195,False,False,False,False,False,True,True,True
Document 196,False,False,False,False,False,False,False,True
Document 197,False,False,False,False,False,True,False,True
Document 198,False,False,False,False,False,False,False,True
Document 199,False,False,False,False,True,False,False,True
Document 200,False,False,False,False,False,False,True,True
Document 201,False,False,True,False,False,True,False,True
Document 202,False,False,False,False,False,True,False,True
Document 203,False,False,False,False,False,False,False,True
Document 204,False,False,False,False,True,False,True,True
Document 205,False,False,False,False,False,False,True,False
Document 206,False,False,False,True,False,False,False,True
Document 207,False,False,False,False,True,True,False,True
Document 208,False,False,False,False,False,False,True,True
Document 209,False,False,False,False,False,False,True,True
Document 210,True,False,False,False,False,False,True,True
Document 211,False,False,False,False,False,True,False,True
Document 212,False,False,False,False,True,False,True,True
Document 213,False,False,False,False,False,True,False,True
Document 214,False,True,False,False,False,False,True,True
Document 215,False,False,False,False,False,False,False,True
Document 216,False,False,False,False,False,False,False,True
Document 217,False,False,False,False,False,True,False,True
Document 218,False,True,False,False,False,False,False,True
Document 219,False,False,False,False,False,False,False,True
Document 220,True,False,False,False,False,False,False,True
Document 221,False,False,True,False,False,False,False,True
Document 222,False,False,False,False,False,False,False,True
Document 223,False,False,False,False,False,False,True,True
Document 224,False,False,False,False,False,False,False,True
Document 225,False,True,False,False,True,False,False,False
Document 226,False,False,False,False,False,True,False,True
Document 227,True,False,False,False,False,False,False,True
Document 228,False,False,False,True,False,False,True,True
Document 229,True,False,False,False,False,False,False,True
Document 230,False,False,True,False,False,False,False,True
Document 231,False,False,False,False,False,True,False,True
Document 232,False,False,True,True,False,False,True,True
Document 233,False,False,False,True,False,False,False,True
Document 234,False,True,False,False,False,False,False,True
Document 235,False,False,True,False,False,True,False,False
Document 236,False,False,False,False,False,True,False,True
Document 237,True,False,False,False,False,False,False,True
Document 238,False,False,False,False,True,False,False,True
Document 239,False,False,False,False,True,False,False,True
Document 240,False,False,True,False,False,False,False,True
Document 241,True,False,False,False,False,False,True,True
Document 242,False,True,False,False,False,False,False,True
Document 243,False,False,True,False,False,False,False,True
Document 244,False,False,False,False,True,False,False,True
Document 245,False,False,False,False,False,False,False,True
Document 246,False,False,False,False,False,False,False,True
Document 247,False,False,False,False,False,False,True,True
Document 248,False,False,False,False,False,False,False,True
Document 249,False,False,False,True,False,False,False,True
Document 250,True,False,False,False,False,False,False,True
Document 251,False,False,False,False,True,False,False,True
Document 252,False,False,False,False,False,False,False,True
Document 253,False,False,True,False,False,False,False,True
Document 254,False,False,True,False,False,False,True,True
Document 255,False,False,True,False,False,False,False,True
Document 256,False,False,False,False,False,False,False,True
Document 257,True,False,False,False,False,False,False,True
Document 258,False,False,True,False,False,False,False,True
Document 259,False,False,False,False,False,False,False,True
Document 260,False,False,True,False,False,False,False,True
Document 261,False,False,False,True,False,False,True,True
Document 262,False,False,False,False,False,False,False,True
Document 263,False,False,True,False,False,False,False,True
Document 264,True,False,False,False,False,False,True,True
Document 265,False,False,False,False,False,False,False,True
Document 266,True,False,False,False,False,False,False,True
Document 267,True,False,False,False,False,False,False,True
Document 268,False,False,False,False,False,True,False,True
Document 269,False,False,True,False,False,False,False,True
Document 270,False,False,False,False,False,False,False,True
Document 271,False,False,False,False,False,False,False,True
Document 272,False,False,False,False,False,False,False,True
Document 273,False,False,False,False,False,False,True,True
Document 274,False,False,False,False,False,False,True,True
Document 275,False,False,False,False,False,False,True,True
Document 276,False,False,False,False,False,False,False,True
Document 277,False,False,False,False,False,False,False,True
Document 278,False,False,False,False,False,True,True,True
Document 279,False,False,False,False,False,False,True,True
Document 280,False,False,False,False,False,False,False,True
Document 281,False,False,False,False,False,True,False,True
Document 282,True,False,False,False,False,False,True,True
Document 283,True,False,True,False,False,False,False,True
Document 284,False,False,False,False,False,False,True,True
Document 285,False,False,False,True,False,False,False,True
Document 286,False,False,False,False,False,False,False,True
Document 287,False,False,False,False,False,False,True,True
Document 288,False,False,False,False,False,True,False,True
Document 289,False,False,False,True,False,False,True,True
Document 290,False,False,False,False,False,True,False,True
Document 291,False,False,True,False,False,True,True,True
Document 292,False,False,False,False,False,False,False,True
Document 293,False,False,False,False,True,False,False,True
Document 294,True,False,False,False,False,False,False,True
Document 295,False,False,False,True,True,False,False,True
Document 296,False,False,False,False,False,True,False,True
Document 297,False,False,False,False,False,False,False,True
Document 298,False,False,False,True,False,False,False,True
Document 299,False,False,False,False,True,False,False,True
Document 300,False,False,False,False,False,True,False,True
Document 301,False,False,False,False,False,False,False,True
Document 302,False,False,False,False,False,True,False,True
Document 303,False,False,False,False,False,True,False,True
Document 304,False,False,False,True,False,False,False,True
Document 305,False,False,True,False,False,True,False,True
Document 306,False,False,False,True,False,False,False,True
Document 307,False,False,False,False,False,True,False,True
Document 308,False,False,False,False,False,False,False,True
Document 309,False,False,True,False,False,True,False,True
Document 310,False,False,False,False,False,True,True,True
Document 311,False,False,False,False,False,False,True,True
Document 312,False,False,False,False,False,False,True,True
Document 313,False,False,False,False,False,False,False,True
Document 314,False,False,False,False,False,False,False,True
Document 315,False,False,False,False,False,False,False,True
Document 316,False,True,False,False,False,False,True,False
Document 317,False,False,True,False,False,False,False,True
Document 318,False,False,False,False,False,True,False,True
Document 319,False,False,False,False,True,False,False,True
Document 320,False,False,False,False,False,False,True,True
Document 321,False,False,False,False,True,False,False,True
Document 322,False,False,True,False,False,False,False,True
Document 323,False,False,False,False,False,True,False,True
Document 324,False,False,False,False,False,False,True,True
Document 325,False,False,True,False,False,False,False,True
Document 326,False,False,False,False,False,False,False,True
Document 327,False,False,False,False,False,True,True,False
Document 328,False,True,True,False,False,False,False,False
Document 329,False,False,False,False,False,False,False,True
Document 330,False,False,False,False,False,True,True,False
Document 331,True,False,False,True,False,False,False,True
Document 332,False,True,False,False,False,False,False,True
Document 333,False,False,False,False,True,False,False,True
Document 334,False,False,False,False,False,False,False,True
Document 335,True,False,False,False,False,False,False,True
Document 336,False,False,False,False,False,True,False,True
Document 337,False,False,False,False,True,False,True,False
Document 338,False,False,False,False,True,False,True,True
Document 339,False,False,False,True,False,False,False,True
Document 340,False,False,True,False,False,False,True,True
Document 341,False,False,False,False,False,False,True,True
Document 342,True,False,False,False,False,False,False,True
Document 343,False,False,False,False,False,True,False,True
Document 344,False,False,False,False,False,True,False,True
Document 345,False,False,False,False,False,True,False,True
Document 346,False,False,False,False,False,False,False,True
Document 347,True,False,False,False,False,False,False,True
Document 348,True,False,False,False,False,False,False,True
Document 349,True,False,False,False,True,False,False,True
Document 350,False,False,False,False,False,True,False,True
Document 351,False,False,True,False,False,True,False,True
Document 352,False,False,False,False,True,False,False,True
Document 353,False,True,False,False,True,False,False,True
Document 354,False,True,False,False,False,False,False,True
Document 355,False,False,False,True,False,False,False,False
Document 356,True,False,False,False,False,False,False,True
Document 357,False,False,False,False,True,True,False,True
Document 358,True,False,False,False,False,False,False,True
Document 359,False,False,False,False,False,False,False,True
Document 360,False,False,False,False,False,True,True,True
Document 361,True,False,False,False,False,False,False,True
Document 362,False,False,False,False,False,True,False,True
Document 363,False,True,False,False,False,False,False,True
Document 364,False,True,True,False,False,False,False,True
Document 365,False,False,True,False,False,False,False,True
Document 366,True,False,False,False,False,False,False,True
Document 367,True,False,False,False,False,False,False,True
Document 368,False,False,False,False,False,False,False,True
Document 369,False,False,False,False,False,False,False,True
Document 370,False,False,True,False,False,False,False,True
Document 371,True,False,False,False,False,True,False,True
Document 372,False,False,False,False,True,False,False,True
Document 373,False,False,False,False,False,False,False,True
Document 374,False,False,False,False,False,False,False,True
Document 375,False,False,False,True,False,False,False,True
Document 376,False,True,False,False,False,False,False,True
Document 377,False,True,False,False,False,False,True,True
Document 378,False,False,True,False,False,False,False,False
Document 379,True,False,False,False,False,False,False,True
Document 380,False,False,False,False,False,False,False,True
Document 381,False,False,False,True,False,False,False,True
Document 382,False,False,False,False,True,False,False,True
Document 383,False,False,False,False,True,False,False,True
Document 384,True,False,True,False,False,False,False,True
Document 385,False,False,False,False,False,False,True,True
Document 386,False,False,False,False,False,False,False,True
Document 387,False,False,False,False,True,False,False,True
Document 388,False,False,False,False,False,False,True,True
Document 389,True,False,False,False,False,False,False,True
Document 390,False,False,False,False,True,False,False,True
Document 391,False,True,False,False,False,False,False,True
Document 392,False,True,False,False,False,True,True,False
Document 393,False,False,False,False,False,False,False,True
Document 394,False,False,False,False,True,False,False,True
Document 395,False,False,False,False,False,False,False,True
Document 396,False,False,False,False,False,True,False,True
Document 397,False,False,True,False,False,False,False,True
Document 398,True,False,False,False,False,False,False,True
Document 399,False,False,False,False,False,False,False,True
Document 400,False,False,False,False,False,False,False,True
Document 401,False,False,True,False,False,False,False,True
Document 402,False,False,False,False,False,False,False,True
Document 403,False,False,False,False,False,False,False,True
Document 404,True,False,False,False,False,False,False,True
Document 405,False,False,False,False,False,True,False,True
Document 406,False,False,True,True,False,False,True,True
Document 407,False,False,False,False,True,False,False,True
Document 408,False,False,False,False,True,False,False,True
Document 409,False,False,False,False,False,False,False,True
Document 410,False,False,True,False,False,False,False,True
Document 411,False,True,False,True,False,False,False,True
Document 412,False,False,True,False,False,True,False,True
Document 413,False,False,False,False,False,False,False,True
Document 414,False,True,False,False,False,True,False,True
Document 415,False,False,False,False,True,False,False,True
Document 416,False,False,False,False,False,True,False,True
Document 417,True,False,False,False,False,False,False,True
Document 418,False,False,False,False,False,False,False,True
Document 419,False,False,False,False,False,True,False,True
Document 420,True,False,False,False,False,False,False,True
Document 421,False,False,False,False,False,False,False,True
Document 422,False,False,False,False,False,False,True,True
Document 423,False,False,False,True,False,False,False,True
Document 424,False,False,False,False,False,False,False,True
Document 425,False,False,False,True,False,False,False,True
Document 426,False,False,False,True,False,False,False,True
Document 427,False,True,False,False,False,False,False,True
Document 428,False,False,True,False,False,False,True,True
Document 429,False,False,False,False,False,True,False,True
Document 430,False,True,False,False,False,False,True,True
Document 431,False,False,False,False,False,False,True,True
Document 432,False,False,True,False,False,True,False,True
Document 433,False,False,True,False,False,True,False,True
Document 434,False,False,False,True,False,False,False,True
Document 435,True,False,False,False,False,False,False,True
Document 436,False,False,False,False,False,True,False,True
Document 437,False,True,False,False,False,False,False,False
Document 438,True,False,False,False,False,False,False,True
Document 439,False,False,False,False,True,False,False,True
Document 440,False,False,False,False,False,False,False,True
Document 441,False,False,False,False,False,False,False,True
Document 442,False,False,True,False,False,True,False,True
Document 443,True,False,False,False,False,True,False,False
Document 444,False,False,False,False,True,False,False,True
Document 445,False,False,False,False,False,True,False,True
Document 446,False,False,True,True,False,False,False,True
Document 447,False,True,False,False,False,False,False,True
Document 448,False,True,False,False,True,False,False,True
Document 449,False,False,False,False,False,False,True,True
Document 450,False,False,True,False,False,False,False,True
Document 451,False,True,False,False,False,False,True,True
Document 452,False,False,False,True,False,False,True,False
Document 453,False,False,False,False,False,False,True,True
Document 454,False,False,False,True,False,False,False,False
Document 455,False,False,False,True,False,False,False,True
Document 456,False,False,False,False,False,False,True,True
Document 457,False,False,False,False,False,True,False,True
Document 458,False,False,True,True,False,False,False,True
Document 459,False,False,False,False,False,False,True,True
Document 460,True,False,False,False,True,False,False,True
Document 461,False,False,False,True,False,False,True,True
Document 462,False,False,True,False,False,False,False,True
Document 463,True,False,False,False,False,False,False,True
Document 464,False,False,False,False,False,False,False,True
Document 465,False,False,False,False,False,False,False,True
Document 466,False,False,True,False,False,False,False,True
Document 467,False,False,False,True,False,False,False,True
Document 468,True,False,False,False,False,False,False,True
Document 469,False,False,False,False,False,False,True,True
Document 470,False,False,False,True,False,False,False,True
Document 471,False,False,True,False,False,False,True,True
Document 472,False,False,False,False,False,False,False,True
Document 473,False,False,True,False,False,False,False,True
Document 474,False,False,False,True,False,False,False,True
Document 475,False,False,False,True,False,False,False,True
Document 476,False,False,False,False,False,False,True,True
Document 477,False,False,False,False,False,False,True,False
Document 478,False,False,True,False,False,False,False,False
Document 479,False,False,False,False,False,False,False,True
Document 480,False,False,False,False,False,False,False,True
Document 481,False,False,False,True,True,False,False,True
Document 482,False,False,False,False,True,False,False,True
Document 483,False,False,False,False,True,False,False,True
Document 484,False,False,False,False,True,False,False,True
Document 485,False,False,False,False,False,False,False,True
Document 486,False,False,False,True,False,False,False,True
Document 487,False,True,False,True,False,False,True,True
Document 488,False,False,False,True,False,False,False,True
Document 489,True,False,False,False,False,False,False,True
Document 490,False,False,True,False,False,False,True,True
Document 491,False,False,False,True,False,False,False,False
Document 492,False,False,False,False,True,False,False,True
Document 493,True,False,True,False,False,False,False,True
Document 494,False,True,False,False,False,False,False,True
Document 495,False,False,False,False,False,False,False,True
Document 496,False,False,True,False,False,False,False,True
Document 497,False,True,False,False,False,False,False,True
Document 498,False,False,False,False,True,False,False,True
Document 499,False,False,False,False,False,True,False,True
Document 500,False,False,False,False,False,False,True,False
Document 501,False,False,False,False,True,False,False,True
Document 502,False,False,False,False,False,False,False,True
Document 503,False,False,False,False,True,True,False,False
Document 504,False,False,False,False,True,True,False,True
Document 505,False,False,False,True,False,False,False,True
Document 506,False,False,True,False,False,False,False,True
Document 507,False,False,False,False,False,False,True,True
Document 508,False,False,False,False,True,False,False,True
Document 509,False,False,True,False,False,True,False,True
Document 510,False,False,False,False,False,False,False,True
Document 511,False,False,False,True,False,False,False,True
Document 512,False,False,False,False,False,False,False,True
Document 513,False,False,False,True,False,False,False,True
Document 514,False,True,False,False,False,True,False,True
Document 515,False,True,False,False,False,False,False,True
Document 516,False,False,True,False,False,False,False,True
Document 517,False,True,False,False,False,False,False,True
Document 518,False,False,False,False,False,False,True,True
Document 519,False,False,False,False,False,False,False,True
Document 520,False,False,False,False,True,False,False,True
Document 521,False,False,False,False,False,False,False,True
Document 522,False,False,False,True,False,False,False,True
Document 523,False,False,False,False,False,False,False,True
Document 524,False,False,False,False,True,False,False,True
Document 525,False,False,False,False,False,False,True,False
Document 526,False,False,False,True,False,False,False,True
Document 527,False,False,False,True,False,False,True,True
Document 528,True,False,False,False,False,False,False,True
Document 529,False,False,False,False,False,True,False,True
Document 530,False,False,False,False,False,False,True,True
Document 531,False,False,False,False,False,False,False,True
Document 532,False,False,False,False,False,False,False,True
Document 533,False,False,False,False,False,False,False,True
Document 534,False,False,False,False,False,False,True,True
Document 535,True,False,False,False,False,False,False,True
Document 536,False,False,False,False,False,False,True,True
Document 537,False,False,False,False,False,False,False,True
Document 538,False,False,True,False,False,False,True,True
Document 539,False,False,False,False,False,False,True,True
Document 540,False,False,True,False,False,False,False,True
Document 541,False,False,False,False,False,True,False,True
Document 542,False,False,True,False,False,False,False,False
Document 543,False,False,False,False,True,False,False,True
Document 544,False,True,False,False,False,False,False,True
Document 545,False,False,False,False,True,False,True,True
Document 546,False,False,False,False,False,False,True,True
Document 547,False,False,True,False,False,False,False,True
Document 548,False,False,True,False,False,False,False,True
Document 549,False,False,False,False,False,True,False,True
Document 550,False,False,False,False,False,False,False,True
Document 551,False,False,False,False,False,True,False,True
Document 552,False,True,False,False,False,False,False,True
Document 553,False,False,False,False,False,False,False,True
Document 554,False,False,False,False,False,False,False,True
Document 555,False,False,False,False,False,True,False,True
Document 556,False,False,False,False,False,True,False,True
Document 557,False,False,False,False,False,False,False,True
Document 558,False,False,False,False,False,True,False,True
Document 559,False,False,False,False,False,False,True,True
Document 560,False,False,False,False,False,True,False,True
Document 561,False,False,False,False,False,True,False,False
Document 562,False,True,False,False,False,False,False,True
Document 563,False,True,False,False,False,False,False,True
Document 564,False,False,True,False,False,False,True,True
Document 565,False,False,False,False,False,False,True,False
Document 566,False,True,False,False,False,True,True,True
Document 567,False,False,False,False,False,False,False,True
Document 568,False,False,False,False,False,True,True,True
Document 569,True,False,True,False,False,False,False,True
Document 570,False,False,False,False,False,True,False,True
Document 571,True,False,False,False,False,False,False,True
Document 572,False,False,False,False,False,False,False,True
Document 573,False,False,False,False,False,False,True,True
Document 574,True,False,False,False,False,False,False,True
Document 575,False,False,False,False,False,False,True,True
