,university,relationships,break ups,divorce,wedding,death,family,friendship
Document 0,False,False,False,False,True,False,False,True
Document 1,False,False,False,False,False,True,True,False
Document 2,False,True,False,False,False,False,False,False
Document 3,False,True,False,False,True,False,False,False
Document 4,False,False,False,False,True,False,False,True
Document 5,False,False,False,False,True,False,True,False
Document 6,False,False,False,False,False,True,False,False
Document 7,False,False,True,False,False,True,False,False
Document 8,False,False,False,False,False,False,False,True
Document 9,False,True,False,False,False,False,True,True
Document 10,False,False,True,False,True,False,False,False
Document 11,False,False,True,False,False,False,False,True
Document 12,True,False,False,False,False,False,False,True
Document 13,False,False,False,False,False,True,False,False
Document 14,False,False,False,False,True,False,True,False
Document 15,False,True,False,False,False,False,False,False
Document 16,True,False,False,False,False,False,False,True
Document 17,False,False,False,False,True,False,True,False
Document 18,False,False,False,False,False,False,False,True
Document 19,False,False,False,False,False,True,False,True
Document 20,True,False,False,False,False,False,False,True
Document 21,True,False,False,False,True,False,False,True
Document 22,False,False,True,False,False,False,False,True
Document 23,False,False,True,False,False,True,False,False
Document 24,False,False,False,False,True,False,True,False
Document 25,False,False,False,False,False,False,True,False
Document 26,False,False,True,True,False,False,False,False
Document 27,False,False,False,False,False,True,True,False
Document 28,False,False,False,False,False,False,False,False
Document 29,False,True,False,False,True,False,False,False
Document 30,False,False,True,True,False,False,False,False
Document 31,False,False,False,False,False,True,False,False
Document 32,False,False,False,False,True,False,False,False
Document 33,False,False,False,True,False,False,False,False
Document 34,False,True,False,False,False,False,False,False
Document 35,False,False,True,False,False,True,False,False
Document 36,False,False,False,True,False,False,False,True
Document 37,False,True,True,False,False,False,False,False
Document 38,False,False,False,False,True,False,False,True
Document 39,True,False,False,False,False,False,False,False
Document 40,False,False,True,False,False,False,False,False
Document 41,True,False,False,False,False,True,False,False
Document 42,False,False,False,False,False,False,True,True
Document 43,False,False,True,False,False,True,False,False
Document 44,False,False,True,False,True,False,False,False
Document 45,False,False,True,True,False,False,False,True
Document 46,True,False,False,False,False,False,True,False
Document 47,False,False,False,True,False,False,False,False
Document 48,False,False,False,True,False,False,False,False
Document 49,False,False,True,False,True,False,False,False
Document 50,False,False,False,False,False,False,True,True
Document 51,False,False,False,False,False,True,False,False
Document 52,False,True,False,False,False,False,False,True
Document 53,False,True,False,False,False,False,False,False
Document 54,False,False,False,False,False,True,True,False
Document 55,False,False,False,True,False,False,True,False
Document 56,False,False,False,True,True,False,False,False
Document 57,False,False,False,False,True,False,False,True
Document 58,False,True,False,False,True,False,True,False
Document 59,False,False,False,True,False,False,True,False
Document 60,True,False,False,False,False,False,True,False
Document 61,False,False,False,False,True,False,False,True
Document 62,False,False,False,False,True,False,True,False
Document 63,True,False,False,False,False,False,False,False
Document 64,False,False,False,False,True,False,False,False
Document 65,False,False,False,False,False,False,False,True
Document 66,False,False,True,False,False,True,False,True
Document 67,False,False,False,False,True,False,True,False
Document 68,False,False,False,False,True,True,False,False
Document 69,True,True,False,False,False,False,False,False
Document 70,True,False,False,False,False,False,False,True
Document 71,True,False,False,False,False,False,False,False
Document 72,False,False,True,True,False,False,False,False
Document 73,True,True,False,False,False,False,False,True
Document 74,False,False,False,False,True,False,True,False
Document 75,False,True,False,False,False,False,False,True
Document 76,False,False,False,True,False,False,True,False
Document 77,False,False,False,False,False,False,False,True
Document 78,False,False,False,False,True,False,False,False
Document 79,True,False,False,False,False,False,False,True
Document 80,True,False,False,False,False,False,False,True
Document 81,False,False,False,True,False,True,False,False
Document 82,False,True,True,False,False,False,False,False
Document 83,False,True,False,False,False,False,False,True
Document 84,False,False,False,False,True,False,False,False
Document 85,True,False,True,False,False,False,False,False
Document 86,False,True,False,False,False,False,False,True
Document 87,False,False,True,False,False,False,False,True
Document 88,False,True,False,False,False,False,False,True
Document 89,False,True,False,False,False,True,False,False
Document 90,False,False,True,False,False,True,False,False
Document 91,False,True,True,False,False,False,False,False
Document 92,False,False,False,False,False,True,False,False
Document 93,False,True,False,False,False,False,False,False
Document 94,False,True,False,False,False,False,False,False
Document 95,False,True,False,False,False,False,False,True
Document 96,True,False,False,False,False,False,False,True
Document 97,False,True,False,False,False,True,False,False
Document 98,False,False,False,False,False,False,False,True
Document 99,False,True,False,False,False,False,False,True
Document 100,False,False,True,False,False,False,False,True
Document 101,False,True,False,False,False,False,False,True
Document 102,False,False,False,False,False,True,True,False
Document 103,True,False,False,False,False,True,False,True
Document 104,False,False,False,False,True,False,False,False
Document 105,False,False,False,False,False,True,False,True
Document 106,True,False,False,False,False,False,False,True
Document 107,False,False,False,False,False,True,False,True
Document 108,False,False,False,False,False,False,False,True
Document 109,False,False,True,False,False,False,False,False
Document 110,False,True,False,False,False,False,False,True
Document 111,False,False,False,False,False,False,True,False
Document 112,False,False,False,False,True,False,False,False
Document 113,False,True,False,False,False,False,False,True
Document 114,False,False,False,False,False,True,False,True
Document 115,True,False,True,False,False,False,False,False
Document 116,True,False,False,False,False,False,False,False
Document 117,False,False,False,False,False,False,False,True
Document 118,False,False,False,False,False,False,True,False
Document 119,False,True,False,False,True,False,True,False
Document 120,True,True,False,False,False,True,False,False
Document 121,False,False,False,False,False,False,False,True
Document 122,False,True,False,False,False,False,False,False
Document 123,False,False,False,False,True,True,False,False
Document 124,False,True,False,True,False,False,True,False
Document 125,False,True,False,False,False,False,True,False
Document 126,True,False,True,False,False,False,False,False
Document 127,False,True,False,False,False,False,False,True
Document 128,False,False,True,False,False,False,True,False
Document 129,False,False,False,False,False,False,True,False
Document 130,False,False,False,False,False,False,False,True
Document 131,False,False,False,False,False,True,True,False
Document 132,False,True,False,False,False,False,False,True
Document 133,False,True,False,True,False,False,False,False
Document 134,False,False,True,False,False,False,False,False
Document 135,False,False,False,False,False,False,False,True
Document 136,False,True,False,False,False,False,False,True
Document 137,False,True,False,False,False,False,False,True
Document 138,False,False,False,False,False,False,True,True
Document 139,False,False,False,False,False,False,False,True
Document 140,False,True,False,False,True,False,False,False
Document 141,True,False,False,False,False,False,False,False
Document 142,False,True,True,False,False,False,False,False
Document 143,False,False,True,False,False,False,False,True
Document 144,True,False,False,False,False,False,True,False
Document 145,False,False,False,False,False,True,False,True
Document 146,False,False,False,False,False,False,True,True
Document 147,False,True,False,False,False,False,False,True
Document 148,True,False,False,False,False,True,False,False
Document 149,False,False,False,False,True,False,False,True
Document 150,False,False,False,False,True,True,False,False
Document 151,False,False,True,False,False,False,False,False
Document 152,False,False,True,False,False,False,False,False
Document 153,True,False,False,False,True,False,False,True
