,university,relationships,break ups,divorce,wedding,death,family,friendship,Dominant_Topic,Topic_Probability
Document 0,0.0,3.8,1.2,0.1,0.0,13.7,0.2,81.1,Topic 7,81.1
Document 1,2.0,64.8,0.0,0.0,18.4,13.8,0.1,1.0,Topic 1,64.8
Document 2,35.6,0.0,6.4,14.7,0.6,0.0,25.9,16.7,Topic 0,35.6
Document 3,61.9,6.4,0.0,4.8,0.1,3.5,4.3,18.9,Topic 0,61.9
Document 4,16.1,4.5,2.1,0.1,2.3,16.6,15.5,42.8,Topic 7,42.8
Document 5,10.0,19.5,0.1,0.0,0.1,0.8,69.5,0.0,Topic 6,69.5
Document 6,0.3,2.4,10.7,35.6,7.1,10.3,5.6,28.0,Topic 3,35.6
Document 7,0.9,0.1,37.5,0.0,0.0,22.7,16.9,21.8,Topic 2,37.5
Document 8,9.7,0.4,20.4,12.5,31.0,2.3,0.1,23.6,Topic 4,31.0
Document 9,5.7,5.6,3.0,0.1,4.1,0.8,37.7,43.2,Topic 7,43.2
Document 10,0.0,0.0,25.2,15.9,0.0,23.3,27.6,8.1,Topic 6,27.6
Document 11,0.2,17.9,6.9,12.5,12.5,21.6,0.0,28.4,Topic 7,28.4
Document 12,0.1,0.1,0.0,16.9,1.8,0.1,25.7,55.3,Topic 7,55.3
Document 13,0.1,10.3,39.1,2.4,9.1,14.0,0.4,24.6,Topic 2,39.1
Document 14,0.0,0.1,0.2,15.7,0.0,0.0,72.7,11.3,Topic 6,72.7
Document 15,64.9,0.1,3.3,11.0,0.0,0.1,17.6,3.0,Topic 0,64.9
Document 16,0.2,0.0,0.9,36.6,3.8,4.3,0.0,54.3,Topic 7,54.3
Document 17,8.2,29.0,0.1,5.8,22.6,0.2,22.0,12.2,Topic 1,29.0
Document 18,0.0,0.0,0.1,0.0,0.0,33.5,0.0,66.3,Topic 7,66.3
Document 19,0.0,0.0,26.6,0.2,1.5,28.6,4.7,38.3,Topic 7,38.3
Document 20,23.3,0.0,0.0,8.8,0.0,17.8,0.0,49.9,Topic 7,49.9
Document 21,2.2,0.0,0.2,35.7,2.4,6.9,7.8,44.6,Topic 7,44.6
Document 22,0.0,0.0,12.4,0.0,0.0,26.4,0.0,61.1,Topic 7,61.1
