,university,relationships,break ups,divorce,wedding,death,family,friendship,Dominant_Topic,Topic_Probability
Document 0,0.1,10.3,6.2,0.0,21.9,3.2,1.5,56.7,Topic 7,56.7
Document 1,0.7,2.9,6.2,2.0,9.7,33.5,44.2,0.8,Topic 6,44.2
Document 2,14.9,42.7,2.8,12.0,6.4,4.7,5.1,11.5,Topic 1,42.7
Document 3,11.0,38.6,7.7,3.5,29.5,2.4,3.6,3.6,Topic 1,38.6
Document 4,10.6,2.4,19.2,12.0,31.5,2.4,1.0,20.9,Topic 4,31.5
Document 5,3.6,2.2,6.0,10.5,30.1,2.7,44.7,0.2,Topic 6,44.7
Document 6,17.2,13.5,6.4,10.2,11.0,27.9,10.1,3.7,Topic 5,27.9
Document 7,1.9,0.4,27.0,4.8,14.4,21.0,16.2,14.2,Topic 2,27.0
Document 8,14.3,11.0,8.7,19.5,13.1,8.1,0.7,24.7,Topic 7,24.7
Document 9,3.9,29.4,5.3,4.7,5.8,1.1,24.7,25.1,Topic 1,29.4
Document 10,1.2,8.8,42.3,14.5,23.1,4.3,3.9,1.9,Topic 2,42.3
Document 11,6.9,0.5,46.5,10.1,5.5,7.7,2.6,20.2,Topic 2,46.5
Document 12,31.5,7.6,1.9,0.5,1.4,10.0,8.7,38.3,Topic 7,38.3
Document 13,9.1,0.4,8.9,3.3,12.5,43.2,9.3,13.4,Topic 5,43.2
Document 14,0.3,13.5,1.0,11.3,31.2,2.3,35.6,4.8,Topic 6,35.6
Document 15,16.9,57.7,0.1,1.4,1.7,2.4,17.9,2.0,Topic 1,57.7
Document 16,30.1,4.6,2.6,2.8,9.5,4.5,1.3,44.6,Topic 7,44.6
Document 17,4.3,7.4,14.6,4.1,34.1,0.3,33.4,1.8,Topic 4,34.1
Document 18,14.6,18.9,2.5,0.0,15.4,17.8,0.2,30.6,Topic 7,30.6
Document 19,7.1,3.5,16.9,2.2,2.8,43.8,1.0,22.6,Topic 5,43.8
Document 20,45.0,8.5,3.6,0.2,6.1,11.6,0.5,24.5,Topic 0,45.0
Document 21,32.3,0.5,7.5,0.8,21.6,2.7,2.3,32.3,Topic 0,32.3
Document 22,1.0,4.6,43.6,1.1,3.4,6.9,0.2,39.2,Topic 2,43.6
Document 23,0.2,0.3,22.9,10.3,4.4,42.4,8.3,11.4,Topic 5,42.4
Document 24,13.6,1.6,1.8,18.1,22.9,9.3,32.2,0.6,Topic 6,32.2
Document 25,13.5,7.9,3.9,2.1,2.9,0.4,60.3,8.9,Topic 6,60.3
Document 26,7.9,5.0,21.3,23.3,18.2,15.8,0.0,8.3,Topic 3,23.3
Document 27,5.2,1.7,7.9,10.7,15.4,21.7,36.0,1.4,Topic 6,36.0
Document 28,10.0,15.5,17.6,9.1,1.3,8.9,17.6,20.0,Topic 7,20.0
Document 29,1.2,40.5,10.0,0.4,26.9,0.6,14.0,6.5,Topic 1,40.5
Document 30,3.1,1.8,24.7,38.0,4.7,1.5,17.9,8.2,Topic 3,38.0
Document 31,10.9,2.6,17.7,1.9,7.5,44.9,3.9,10.6,Topic 5,44.9
Document 32,0.8,17.7,0.3,7.5,50.6,1.5,9.6,12.0,Topic 4,50.6
Document 33,12.7,0.2,8.1,45.8,16.6,4.8,1.1,10.8,Topic 3,45.8
Document 34,9.6,43.3,9.8,8.9,5.9,1.2,6.9,14.4,Topic 1,43.3
Document 35,0.8,1.9,44.9,9.0,3.3,26.4,7.9,5.8,Topic 2,44.9
Document 36,14.6,5.5,2.3,22.2,8.7,11.1,8.0,27.7,Topic 7,27.7
Document 37,6.6,31.9,21.6,9.8,1.5,13.1,3.8,11.8,Topic 1,31.9
Document 38,9.3,17.1,1.4,0.7,22.7,17.2,8.6,23.0,Topic 7,23.0
